Qubit,Error_Rate
"(61, 60)",0.006038656640113771
"(61, 62)",0.0029880618995621333
"(62, 61)",0.0029880618995621333
"(62, 63)",0.002947791611275119
"(63, 62)",0.002947791611275119
"(63, 64)",0.0030117634896522916
"(63, 73)",0.002234450259117088
"(64, 63)",0.0030117634896522916
"(64, 65)",0.0029354993592884127
"(65, 55)",0.0017818350933174743
"(65, 64)",0.0029354993592884127
"(65, 66)",0.0017855720224917437
"(66, 65)",0.0017855720224917437
"(66, 67)",0.0016840453831498126
"(67, 66)",0.0016840453831498126
"(67, 68)",0.0025816790049828786
"(67, 74)",0.0021363288549818005
"(68, 67)",0.0025816790049828786
"(68, 69)",0.0026445206038547275
"(69, 56)",0.007942392607784204
"(69, 68)",0.0026445206038547275
"(69, 70)",0.002713081454252947
"(70, 69)",0.002713081454252947
"(70, 71)",0.003907534930931683
"(71, 70)",0.003907534930931683
"(71, 75)",0.003096191009003546
"(72, 59)",0.0017272562735183294
"(72, 78)",0.00336470690430693
"(73, 63)",0.002234450259117088
"(73, 82)",0.001928971898371823
"(74, 67)",0.0021363288549818005
"(74, 86)",0.0015957052285336948
"(75, 71)",0.003096191009003546
"(75, 90)",0.0019750388608018588
"(76, 77)",0.0024494958384085885
"(76, 91)",0.004000625010887854
"(77, 76)",0.0024494958384085885
"(77, 78)",0.002093098253130088
"(78, 72)",0.00336470690430693
"(78, 77)",0.002093098253130088
"(78, 79)",0.01320276532731926
"(79, 78)",0.01320276532731926
"(79, 80)",0.011211776971071702
"(80, 79)",0.011211776971071702
"(80, 81)",0.00262509480048001
"(80, 92)",0.001862688483196595
"(81, 80)",0.00262509480048001
"(81, 82)",0.0022314547351372227
"(82, 73)",0.001928971898371823
"(82, 81)",0.0022314547351372227
"(82, 83)",0.0025109800060343634
"(83, 82)",0.0025109800060343634
"(83, 84)",0.0035593933331302674
"(84, 83)",0.0035593933331302674
"(84, 85)",0.046960717735337054
"(84, 93)",0.009735938787050591
"(85, 84)",0.046960717735337054
"(85, 86)",0.021851670997185546
"(86, 74)",0.0015957052285336948
"(86, 85)",0.021851670997185546
"(86, 87)",0.002036701812009656
"(87, 86)",0.002036701812009656
"(87, 88)",0.0016142904597934993
"(88, 87)",0.0016142904597934993
"(88, 89)",0.002521183371582164
"(88, 94)",0.001706700082803131
"(89, 88)",0.002521183371582164
"(89, 90)",0.0020969511409808517
"(90, 75)",0.0019750388608018588
"(90, 89)",0.0020969511409808517
"(91, 76)",0.004000625010887854
"(91, 95)",0.003282597534261106
"(92, 80)",0.001862688483196595
"(92, 99)",0.0024719210160221994
"(93, 84)",0.009735938787050591
"(93, 103)",0.0022367489605554514
"(94, 88)",0.001706700082803131
"(94, 107)",0.0020917140399979717
"(95, 91)",0.003282597534261106
"(95, 96)",0.0026391343700062075
"(96, 95)",0.0026391343700062075
"(96, 97)",0.006751364838013196
"(97, 96)",0.006751364838013196
