n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,z,27,"['x', 'z', 'x', 'z', 'z']",0.01,m2,100000,8616,0,0,33426,0.12941989365217652,0.0,57.322851025999626,-31.1026173070004
5,z,28,"['z', 'z', 'x', 'z', 'z']",0.01,m2,100000,37336,0,0,33391,0.5605248539987089,0.0,29.378842165000606,12.590928564999558
5,z,29,"['x', 'x', 'z', 'z', 'z']",0.01,m2,100000,8466,0,0,50810,0.17210815206342753,0.0,47.877384047000305,-23.79433580499972
5,z,30,"['z', 'x', 'z', 'z', 'z']",0.01,m2,100000,20951,0,0,33458,0.3148537765621713,0.0,27.59613673000058,6.090093697999691
5,z,31,"['x', 'z', 'z', 'z', 'z']",0.01,m2,100000,11630,0,0,33426,0.17469282302400335,0.0,54.04852935700001,-25.066954814001292
5,z,32,"['z', 'z', 'z', 'z', 'z']",0.01,m2,100000,9962,0,0,38744,0.16262896695833878,0.0,27.45076764699843,-8.129934107999361
4,x,2,"['x', 'x', 'x', 'x']",0.01,normal,100000,24578,0,0,0,0.24578,0.0,28.018834803999198,6.495384411002306
4,x,2,"['x', 'x', 'x', 'x']",0.005,normal,100000,49512,0,0,0,0.49512,0.0,28.028574484000274,8.74890882699765
4,x,3,"['z', 'x', 'x', 'x']",0.01,normal,100000,36521,0,0,0,0.36521,0.0,35.66044543799944,9.827101901999413
4,x,3,"['z', 'x', 'x', 'x']",0.005,normal,100000,60351,0,0,0,0.60351,0.0,32.358559863001574,-12.229158385001938
4,x,4,"['x', 'z', 'x', 'x']",0.01,normal,100000,26760,139,270,0,0.2676,0.005194319880418519,31.58355854600086,7.912571839999146
4,x,4,"['x', 'z', 'x', 'x']",0.005,normal,100000,51336,57,110,0,0.51336,0.0011103319308087833,34.08910493000076,12.31047583399777
4,x,5,"['z', 'z', 'x', 'x']",0.01,normal,100000,55903,8,14,0,0.55903,0.00014310502119740942,11.784720613999525,5.42475743900286
4,x,5,"['z', 'z', 'x', 'x']",0.005,normal,100000,74173,0,0,0,0.74173,0.0,31.332241372998396,11.474119632999646
4,x,6,"['x', 'x', 'z', 'x']",0.01,normal,100000,26416,227,438,0,0.26416,0.008593276801938221,29.07956882399958,7.644899588998669
4,x,6,"['x', 'x', 'z', 'x']",0.005,normal,100000,50983,107,210,0,0.50983,0.0020987387952846603,10.788679627999954,5.246887530000095
4,x,7,"['z', 'x', 'z', 'x']",0.01,normal,100000,42431,960,1683,0,0.42431,0.02262496759444743,21.467492599000252,13.453136395997717
4,x,7,"['z', 'x', 'z', 'x']",0.005,normal,100000,63659,350,658,0,0.63659,0.005498044267110647,16.48187810300078,4.2942112519995135
4,x,8,"['x', 'z', 'z', 'x']",0.01,normal,100000,34475,6892,12287,0,0.34475,0.1999129804205947,14.225669511000888,3.0176878359998227
4,x,8,"['x', 'z', 'z', 'x']",0.005,normal,100000,56227,5340,9932,0,0.56227,0.09497216639692674,42.07144135799899,10.072911957999167
4,x,9,"['z', 'z', 'z', 'x']",0.01,normal,100000,100000,45,80,0,1.0,0.00044999999999995044,38.674202457998035,12.367278286001238
4,x,9,"['z', 'z', 'z', 'x']",0.005,normal,100000,100000,2,3,0,1.0,2.0000000000020002e-05,33.35909011400145,9.689519264997216
4,x,10,"['x', 'x', 'x', 'z']",0.01,normal,100000,27064,305,584,0,0.27064,0.011269583210168466,27.603464038998936,11.541870549001032
4,x,10,"['x', 'x', 'x', 'z']",0.005,normal,100000,51372,146,286,0,0.51372,0.002842015105504969,40.20418893299939,8.836913180002739
4,x,11,"['z', 'x', 'x', 'z']",0.01,normal,100000,40675,790,1442,0,0.40675,0.019422249539028935,44.98440695099998,9.431091155001923
4,x,11,"['z', 'x', 'x', 'z']",0.005,normal,100000,63060,322,622,0,0.6306,0.005106248017760828,47.204779308998695,15.181364244999713
4,x,12,"['x', 'z', 'x', 'z']",0.01,normal,100000,30697,5156,9517,0,0.30697,0.16796429618529496,37.446985136000876,7.162440167998284
4,x,12,"['x', 'z', 'x', 'z']",0.005,normal,100000,54445,4621,8822,0,0.54445,0.08487464413628432,15.165351382001973,3.291918793998775
