n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,3,0.005,normal,anqi,126000000,0.6029333095238096,9.159926778746488e-05,0.0005245914442959,2.3956946966485363e-06,126,3.3873546406940105e-07,1.9399470172922044e-06,0.602931865079365,9.159919027018282e-05,0.0005245910003524,1,1,48,48,48,1.0,0.0,75969597,182.0,0,0,0,0,37260.23251709581,"['z', 'x', 'x', 'x']"
4,x,3,0.005,normal,val,3000000,0.602839,0.0009454685969048,0.0008355100238775,1.3818616078741384e-06,3,1.082088156523266e-06,9.56240645595327e-07,0.6028381666666667,0.0009451084862831,0.0008351917943402,1,1,48,48,48,1.0,0.0,1808517,0.0,5,0,0,0,913.025525945006,"['z', 'x', 'x', 'x']"
4,x,3,0.01,m1,anqi,125000000,0.446183024,8.857373107300939e-05,0.000505247152296,1.4343173356787936e-06,125,2.926601847637764e-07,1.669408335304725e-06,0.446182384,8.856871189294894e-05,0.0005052185216128,1,1,40,40,32,1.0,0.0,55772878,80.0,0,0,0,0,15318.27332824166,"['z', 'x', 'x', 'x']"
4,x,3,0.01,m1,val,2000000,0.4463585,1.6660000000016663e-05,1.202081528018333e-05,4.312677985907736e-05,2,1.0993819814173028e-06,7.932453614025284e-07,0.44633925,1.7150000000003547e-05,1.2374368670767145e-05,1,1,40,40,32,1.0,0.0,892717,0.0,77,0,0,0,293.740313243994,"['z', 'x', 'x', 'x']"
4,x,3,0.01,normal,anqi,126000000,0.3663419365079365,8.565061314808007e-05,0.0004905233408682,4.1746863322938464e-05,126,1.8758918816708573e-06,1.0743282728331176e-05,0.3663266428571428,8.564655990860258e-05,0.0004905001278578,1,1,48,48,48,1.0,0.0,46159084,1927.0,0,0,0,0,58038.12214754039,"['z', 'x', 'x', 'x']"
4,x,3,0.01,normal,val,3000000,0.366432,0.0009684588551576,0.0008558265011087,4.3677407195933536e-05,3,9.762964962065367e-06,8.627526197353048e-06,0.366416,0.0009719032759145,0.000858870333636,1,1,48,48,48,1.0,0.0,1099296,0.0,96,0,0,0,1334.1844579089666,"['z', 'x', 'x', 'x']"
4,x,3,0.05,m1,anqi,3000000,0.023839,3.780311098309326e-05,3.34065861769809e-05,0.0040135618182318,3,0.0006783838224784,0.0005994873712068,0.0237433333333333,5.3201555532814426e-05,4.701418225741413e-05,1,1,40,40,32,1.0,0.0,71517,287.0,0,0,0,0,1555.3169373849523,"['z', 'x', 'x', 'x']"
4,x,3,0.05,m1,val,3000000,0.023839,3.780311098309326e-05,3.34065861769809e-05,0.0191496476630271,3,0.000583553754619,0.0005156860979325,0.0233825,4.82328615503296e-05,4.262335040796236e-05,1,1,40,40,32,1.0,0.0,71517,287.0,2165,0,0,0,1571.5579705399578,"['z', 'x', 'x', 'x']"
4,x,3,0.05,normal,anqi,3000000,0.0111456666666666,0.0001550768933285,0.0001370413562882,0.0314103888325755,3,0.0020427028006548,0.0018051352221925,0.0107956666666666,0.0001636114166079,0.0001445833093179,1,1,48,48,48,1.0,0.0,33437,1050.0,0,0,0,0,1697.5136368889944,"['z', 'x', 'x', 'x']"
4,x,3,0.05,normal,val,3000000,0.0111456666666666,0.0001550768933285,0.0001370413562882,0.0313918245350294,3,0.00061306254525,0.0005417629982605,0.0107958333333333,0.0001570594173482,0.0001387933115583,1,1,48,48,48,1.0,0.0,33437,336.0,1427,0,0,0,1514.261752409977,"['z', 'x', 'x', 'x']"
4,x,3,0.1,m1,anqi,2000000,0.0023095,4.409999999999989e-05,3.181980515339457e-05,0.0871954315577419,2,0.0106406934264141,0.0076776596717802,0.0021079999999999,1.568000000000017e-05,1.1313708498984883e-05,1,1,40,40,32,1.0,0.0,4619,403.0,0,0,0,0,805.685943714052,"['z', 'x', 'x', 'x']"
4,x,3,0.1,m1,val,2000000,0.0023095,4.409999999999989e-05,3.181980515339457e-05,0.2045922831036187,2,0.000512024111223,0.0003694446134457,0.001837,3.625999999999981e-05,2.616295090390213e-05,1,1,40,40,32,1.0,0.0,4619,404.0,1082,0,0,0,770.9053905020119,"['z', 'x', 'x', 'x']"
