n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,z,14,0.005,normal,1330000000,0.6786587353383459,2.631693822596432e-05,0.0001548478251994,3.77239507486061e-07,133,3.00080222478422e-08,1.765660178140378e-07,0.6786584793233083,2.631832472919545e-05,0.0001548559833297,1,1,48,16,48,1.0,0.0,902616118,8.0,665,0,0,0,72927.92475171658,"['z', 'x', 'z', 'z']"
4,z,14,0.01,m1,50000000,0.52127922,0.0001311826169728,0.0001496598209272,4.0094093819624735e-06,5,4.848383265824488e-07,5.53128294048775e-07,0.52127713,0.0001312654875214,0.0001497543638762,1,1,40,8,32,1.0,0.0,26063961,4.0,201,0,0,0,542.1526861563325,"['z', 'x', 'z', 'z']"
4,z,14,0.01,normal,50000000,0.46234824,0.0002011691581156,0.0002295040370015,7.029464888273643e-06,5,1.0778997599200908e-06,1.229723028628585e-06,0.4623449899999999,0.0002013022396421,0.0002296558631953,1,1,48,16,48,1.0,0.0,23117412,9.0,307,0,0,0,2739.1432089251466,"['z', 'x', 'z', 'z']"
4,z,15,0.0001,m1,3620000000,0.9906065930939226,3.073223618187375e-06,2.983268730694037e-05,0.0,362,0.0,0.0,0.9906065930939226,3.073223618187375e-06,2.983268730694037e-05,0,2,56,8,48,1.0,0.0,3585995867,0.0,0,0,0,0,1179.3225356247276,"['x', 'z', 'z', 'z']"
4,z,15,0.0001,normal,3610000000,0.9893893,3.566620622030297e-06,3.457438358090595e-05,0.0,361,0.0,0.0,0.9893893,3.566620622030297e-06,3.457438358090595e-05,0,2,64,16,64,1.0,0.0,3571695373,0.0,0,0,0,0,10710.97071543755,"['x', 'z', 'z', 'z']"
4,z,15,0.0005,m1,3620000000,0.953910229281768,6.841377440271985e-06,6.641126689139822e-05,0.0,362,0.0,0.0,0.953910229281768,6.841377440271985e-06,6.641126689139822e-05,0,2,56,8,48,1.0,0.0,3453155030,0.0,0,0,0,0,1897.3395638018849,"['x', 'z', 'z', 'z']"
4,z,15,0.0005,normal,3610000000,0.9480861013850416,6.779804387805829e-06,6.572259355526058e-05,0.0,361,0.0,0.0,0.9480861013850416,6.779804387805829e-06,6.572259355526058e-05,0,2,64,16,64,1.0,0.0,3422590826,0.0,0,0,0,0,27647.055161521304,"['x', 'z', 'z', 'z']"
4,z,15,0.001,m1,75930000000,0.9099615112340314,2.0355968734507456e-06,9.04987131402985e-05,2.3157401344609614e-10,7593,8.00723227555948e-11,3.5598611208572914e-09,0.909961511023311,2.035597561529366e-06,9.04987437309476e-05,0,2,56,8,48,1.0,0.0,69093377548,0.0,32,0,0,0,62389.1051918561,"['x', 'z', 'z', 'z']"
4,z,15,0.001,normal,75890000000,0.8988902629200157,2.145751160378836e-06,9.537082974786596e-05,1.3926082957131804e-10,7589,6.254499028886921e-11,2.779897189648286e-09,0.8988902627948346,2.1457509531170398e-06,9.53708205358334e-05,0,2,64,16,64,1.0,0.0,68216782053,0.0,19,0,0,0,801440.5194093331,"['x', 'z', 'z', 'z']"
4,z,15,0.005,m1,4900000000,0.6244949818367347,1.3723937587668147e-05,0.0001549960758679,1.356183345589995e-07,490,9.596491986703416e-09,1.0838132937691817e-07,0.6244948971428572,1.3723612402614428e-05,0.0001549924032771,0,2,56,8,48,1.0,0.0,3060025411,8.0,814,0,0,0,41546.19419536658,"['x', 'z', 'z', 'z']"
4,z,15,0.005,normal,4880000000,0.5877041211065573,1.4539840513861267e-05,0.0001638752934774,1.4051834901996661e-07,488,9.989264951546272e-09,1.1258677314914713e-07,0.5877040385245902,1.454023674590015e-05,0.0001638797593202,0,2,64,16,64,1.0,0.0,2867996111,8.0,790,0,0,0,178523.04088520134,"['x', 'z', 'z', 'z']"
4,z,15,0.01,m1,3610000000,0.3909703218836565,1.5649089443935242e-05,0.0001517003568544,2.1064158151022413e-06,361,5.8116330667924755e-08,5.633725932094746e-07,0.3909694983379501,1.564916961595961e-05,0.0001517011340322,0,2,56,8,48,1.0,0.0,1411402862,60.0,5826,0,0,0,46285.9657719438,"['x', 'z', 'z', 'z']"
4,z,15,0.01,normal,3600000000,0.3466989336111111,1.5099563173857343e-05,0.0001461704427642,2.110383408220672e-06,360,5.7882807300706163e-08,5.603311482699621e-07,0.3466982019444444,1.509979286023782e-05,0.0001461726662298,0,2,64,16,64,1.0,0.0,1248116161,64.0,5140,0,0,0,154241.92477851547,"['x', 'z', 'z', 'z']"
