n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,3,0.005,m2,val,1052400000,0.8170930593044143,665504820,5.10890364400366e-08,0.0,1,,0.0,,0.6323686678069175,0.0,,1,1,40,40,32,0.9246416479792221,0.0,665504820,-845.0,1758,237921389,0,0.0,5825.162490482209
4,x,3,0.005,normal,anqi,2136000000,0.6029571238606425,1287960573,2.529779445180448e-06,3.056022260543446e-05,3,2.7006050124095618e-05,1.3732845577402573e-07,1.2135707281917762e-07,0.6029555985109175,3.051525363118032e-05,2.6966311068905605e-05,1,1,48,48,48,1.0,0.0,1287960573,3301.0,0,0,0,0.0,443064.1723554498
4,x,3,0.005,normal,val,845000000,0.6029165688836104,509529581,7.138242714968166e-07,0.0001520350118764524,2,0.00010969896722001714,1.3103066618513222e-06,9.454354347234474e-07,0.6029161385589865,0.00015282490894693912,0.00011026890760265034,1,1,48,48,48,1.0,0.0,509529581,-254.0,559,0,0,236.15081583801657,94914.64949747552
4,x,3,0.01,m1,anqi,125000000,0.446183024,55772878,1.434388951561725e-06,0.0,1,,0.0,,0.446182384,0.0,,1,1,40,40,32,1.0,0.0,55772878,80.0,0,0,0,0.0,15318.27332824166
4,x,3,0.01,m1,val,618900000,0.43005576969525044,256136967,2.188954276870612e-05,0.0319533513973091,2,0.023055542300687668,4.162496376160865e-05,3.0033973614773247e-05,0.43004600974631224,0.031934750897228074,0.023042121341768525,1,1,40,40,32,1.0,0.0,256136967,-3924.0,8258,0,0,69.81479557417333,27271.5454496752
4,x,3,0.01,m2,val,458400000,0.6616142200132773,184514598,8.427517480215847e-07,0.0,1,,0.0,,0.40251841732111693,0.0,,1,1,40,40,32,0.8694629712041885,0.0,184514598,-3524.0,7359,179514522,0,0.0,8029.06828956306
4,x,3,0.01,normal,anqi,126000000,0.3663419365079365,46159084,4.174692894685692e-05,0.0,1,,0.0,,0.36632664285714284,0.0,,1,1,48,48,48,1.0,0.0,46159084,1927.0,0,0,0,0.0,58038.12214754039
4,x,3,0.01,normal,val,652100000,0.35699395794176547,226697841,2.2928127777497972e-05,0.01849856243413961,2,0.013347407081002903,4.064291479232788e-05,2.932538842534907e-05,0.3569855770297335,0.018483629021722393,0.01333663206346569,1,1,48,48,48,1.0,0.0,226697841,-4408.0,9901,0,0,362.9285886227153,85488.69556468415
4,x,3,0.05,m1,anqi,3000000,0.023839,71517,0.004013031866549212,0.0,1,,0.0,,0.023743333333333335,0.0,,1,1,40,40,32,1.0,0.0,71517,287.0,0,0,0,0.0,1555.3169373849523
4,x,3,0.05,m1,val,3000000,0.023839,71517,0.00400604052183397,0.0,1,,0.0,,0.0237435,0.0,,1,1,40,40,32,1.0,0.0,71517,-796.0,2165,0,0,0.0,1571.5579705399578
4,x,3,0.05,normal,anqi,3000000,0.011145666666666667,33437,0.0314023387265604,0.0,1,,0.0,,0.010795666666666667,0.0,,1,1,48,48,48,1.0,0.0,33437,1050.0,0,0,0,0.0,1697.5136368889944
4,x,3,0.05,normal,val,3000000,0.011145666666666667,33437,0.010033794897867631,0.0,1,,0.0,,0.011033833333333333,0.0,,1,1,48,48,48,1.0,0.0,33437,-378.0,1427,0,0,0.0,1514.261752409977
4,x,3,0.1,m1,anqi,2000000,0.0023095,4619,0.087248322147651,0.0,1,,0.0,,0.002108,0.0,,1,1,40,40,32,1.0,0.0,4619,403.0,0,0,0,0.0,805.685943714052
4,x,3,0.1,m1,val,2000000,0.0023095,4619,0.08746481922494047,0.0,1,,0.0,,0.0021075,0.0,,1,1,40,40,32,1.0,0.0,4619,-137.0,1082,0,0,0.0,770.9053905020119
4,x,3,0.1,normal,anqi,3000000,0.0013946666666666667,4184,0.3030592734225621,0.0,1,,0.0,,0.000972,0.0,,1,1,48,48,48,1.0,0.0,4184,1268.0,0,0,0,0.0,1192.7648285999894
4,x,3,0.1,normal,val,3000000,0.0013946666666666667,4184,0.1554732313575526,0.0,1,,0.0,,0.0011778333333333332,0.0,,1,1,48,48,48,1.0,0.0,4184,34.0,1233,0,0,0.0,1569.6097612179583
4,x,4,0.0,m2,val,200,1.0,200,0.0,0.0,1,,0.0,,1.0,0.0,,0,2,56,40,48,1.0,0.0,200,0.0,0,0,0,0.0,0.0540539309986342
4,x,4,0.0001,m1,anqi,125000000,0.988022344,123502793,0.0,0.0,1,,0.0,,0.988022344,0.0,,0,2,56,40,48,1.0,0.0,123502793,0.0,0,0,0,0.0,6106.822985713836
4,x,4,0.0001,m1,val,114900000,0.9880082984942427,113525070,4.938610078373974e-07,5.1545048715603276e-05,2,3.719168722795308e-05,5.199137828010967e-07,3.7513730760306663e-07,0.9880078105624446,5.205870239136101e-05,3.756230763337113e-05,0,2,56,40,48,1.0,0.0,113525070,0.0,54,0,0,15.352423401083795,2751.5249671790953
4,x,4,0.0001,normal,anqi,125000000,0.985027128,123128391,7.390659397149111e-07,0.0,1,,0.0,,0.9850264,0.0,,0,2,64,48,64,1.0,0.0,123128391,91.0,0,0,0,0.0,75668.02918642422
4,x,4,0.0001,normal,val,114900000,0.9850458472099203,113180531,1.0074169855951471e-06,2.185946855617793e-05,2,1.577242698898727e-05,1.50749471247286e-06,1.0877140140739021e-06,0.9850448548494243,2.0374495128510083e-05,1.470096292716506e-05,0,2,64,48,64,1.0,0.0,113180531,0.0,60,0,0,523.3268667091615,15299.151390124971
4,x,4,0.0005,m1,val,112900000,0.9415355358724535,106299362,5.865510274652448e-06,0.0,1,,0.0,,0.9415300132860939,0.0,,0,2,56,40,48,1.0,0.0,106299362,0.0,1247,0,0,44.68321815924719,3376.025878250017
4,x,4,0.0005,normal,val,112900000,0.9273661027457928,104699633,1.910226371089572e-08,0.0,1,,0.0,,0.9273660850310009,0.0,,0,2,64,48,64,1.0,0.0,104699633,-617.0,1238,0,0,527.3433895618655,14155.163958898702
4,x,4,0.001,m1,val,1122900000,0.8866494797829738,995588713,1.7303032139800914e-07,5.894712934580437e-05,2,4.253256621622327e-05,4.042399952738149e-08,2.9167432845401272e-08,0.8866493263663497,5.898296106433221e-05,4.2558420145970825e-05,0,2,56,40,48,1.0,0.0,995588713,-60046.0,120473,0,0,66.91125023271888,94294.87735044808
4,x,4,0.001,normal,val,1120000000,0.860266828655524,963488864,1.3585016105873585e-07,1.968694628390666e-05,2,1.4204870630822144e-05,1.9393818019463472e-07,1.3993367586388247e-07,0.8602667117891307,1.9853782192845726e-05,1.4325249000777487e-05,0,2,64,48,64,1.0,0.0,963488864,-58137.0,116705,0,0,540.2880013687536,505524.23072803207
4,x,4,0.005,m1,anqi,126000000,0.550574976,69327308,3.0132889936470337e-05,0.0007134870399999815,2,0.0005148076778292902,8.533225770058579e-06,6.157042660616551e-06,0.5505583839999999,0.0007087673599999632,0.0005114022515710826,0,2,56,40,48,1.0,0.0,69327308,1792.0,0,0,0,0.0,30298.345661807984
4,x,4,0.005,m1,val,44900000,0.5503411182983683,24706456,1.815840025899351e-05,0.00018498813519808086,2,0.00013347588248736411,1.782178815412873e-05,1.285908903740256e-05,0.5503311241258741,0.00017517671328668105,0.00012639657333773853,0,2,56,40,48,1.0,0.0,24706456,-18107.0,36702,0,0,210.5591811342165,4200.67022634676
4,x,4,0.005,normal,anqi,126000000,0.4750156428571429,59851971,0.0015814850942836953,0.0,1,,0.0,,0.4742644126984127,0.0,,0,2,64,48,64,1.0,0.0,59851971,94655.0,0,0,0,0.0,68997.34836759407
4,x,4,0.005,normal,val,46000000,0.47482701937984495,21849897,2.5647688587321515e-05,0.0003848513178294776,2,0.0002776846699855132,1.855597499526812e-05,1.3388832398655207e-05,0.47481484302325583,0.00039365232558143446,0.00028403492739641526,0,2,64,48,64,1.0,0.0,21849897,-16545.0,33851,0,0,494.8313205973245,9405.291604114012
4,x,4,0.01,m1,anqi,125000000,0.30613068,38266335,0.00021481022418269217,0.0,1,,0.0,,0.30606492,0.0,,0,2,56,40,48,1.0,0.0,38266335,8220.0,0,0,0,0.0,45103.37640667049
