n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
5,32,25,z,m1,0.0075,0.39999999999999997,3785,36776,0.10292038285838591,0.0001321003963011889,0.0021136063408190298,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.44999999999999996,4624,45010,0.10273272606087536,0.00010813148788927336,0.0021626297577854725,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.49999999999999994,5514,53136,0.10377145438121048,0.0002720348204570185,0.0025389916575988547,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.5499999999999999,6341,60813,0.10427046848535675,0.00023655574830468382,0.002523261315249936,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.6,7142,67946,0.10511288376063345,0.00021002520302436292,0.00252030243629231,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.65,7842,74613,0.10510232801254472,0.00031879622545269063,0.002550369803621555,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.7,8448,80612,0.1047982930581055,0.00023674242424242425,0.0023674242424241987,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.75,9040,86033,0.10507595922494857,0.00022123893805309734,0.002544247787610643,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.7999999999999999,9495,90675,0.10471464019851116,0.0001579778830963665,0.0025276461295418162,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.85,9873,94430,0.10455363761516467,0.00035450217765623415,0.002633444748303404,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
