n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss,
4,16,7,z,m1,0.05,0.85,2214,99543,0.0222416443145173,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.9,2214,99879,0.0221668218544439,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.95,2214,99987,0.0221428785742146,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,1,2214,100000,0.02214,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.025,0.05,0,3,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.1,0,38,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.15,0,183,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.2,0,639,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.25,0,1539,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.3,0,3459,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.35,7,7106,0.000985083028426682,0,0,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.4,66,13918,0.00474206064089668,0.0303030303030303,0.0909090909090909,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.45,1042,27095,0.0384572799409485,0.00479846449136276,0.04510556621881,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.5,5680,51642,0.109987994268231,0.00360915492957746,0.0394366197183098,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.55,9953,74954,0.132788110040825,0.00452124987440973,0.039887471114237,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.6,10732,87107,0.123204794103803,0.00475214312336936,0.0398807305255311,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.65,10805,93553,0.115496028988915,0.0047663118926423,0.0399814900509023,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.7,10809,96885,0.111565257779842,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.75,10809,98635,0.109585846808942,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.8,10809,99476,0.108659375125658,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.85,10809,99849,0.10825346272872,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.9,10809,99973,0.108119192181889,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,0.95,10809,100000,0.10809,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.025,1,10809,100000,0.10809,0.00476454806180035,0.0399666944213156,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.716822147369385
4,16,7,z,m1,0.01,0.05,0,0,0,0,0,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.1,0,4,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.15,0,35,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.2,0,160,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.25,0,467,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.3,0,1224,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.35,23,3019,0.00761841669426963,0,0,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.4,263,7166,0.0367010884733464,0.00190114068441065,0.00760456273764254,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.45,3469,19037,0.182224089930136,0.000144133756125685,0.00576535024502733,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.5,19080,52380,0.36426116838488,0.000471698113207547,0.00607966457023057,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
4,16,7,z,m1,0.01,0.55,32880,82569,0.398212404171057,0.000304136253041363,0.00590024330900241,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.703742027282715
