n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,2,0.8,m2,8350000,0.17003043613386198,0.005146235426885108,0.033930621483679896,0.0,167,0.0,0.0,0.08890826347305389,0.00334287138702445,0.022040519776687414,0,3,144,144,128,0.7457095808383234,0.0042522912070544205,742384,0.0,0,4010725,0,0,749.1807975973934
5,x,2,1.0,m2,8350000,0.1097125140329777,0.004256985310082818,0.028067537770115808,0.0,167,0.0,0.0,0.04875604790419162,0.0022774128378628,0.015015642805593142,0,3,144,144,128,0.7041394082423389,0.004348630370965759,407113,0.0,0,4666379,0,0,633.0590941137634
5,x,3,0.1,m2,8400000,0.8953642890096241,0.0025042188126515345,0.016560400792723886,0.0,168,0.0,0.0,0.8419058333333334,0.003100590356998088,0.020504206240498438,1,2,112,112,96,0.9724082417582418,0.0006150920492150311,7072009,0.0,0,502170,0,0,1782.5348916486837
5,x,3,0.3,m2,8400000,0.7159555702774891,0.006208483127125581,0.041056703344225766,0.0,168,0.0,0.0,0.5977184523809524,0.007365124788889968,0.04870557547776716,1,2,112,112,96,0.9233115384615386,0.001941422492105188,5020835,0.0,0,1395730,0,0,1810.5761655336246
5,x,3,0.5,m2,8400000,0.5742658238120406,0.008253273733918673,0.05457890508419117,0.0,168,0.0,0.0,0.4241575,0.008527097061419566,0.056389698944097816,1,2,112,112,96,0.8782326923076924,0.002660884120811311,3562923,0.0,0,2216165,0,0,1725.447533368133
5,x,3,0.8,m2,8400000,0.41174370382865,0.00910499704593338,0.060211351953534484,0.0,168,0.0,0.0,0.25511,0.007839100455380126,0.051839976898050595,1,2,112,112,96,0.8222883516483516,0.0034213272552046483,2142924,0.0,0,3234352,0,0,1532.4639939665794
5,x,3,1.0,m2,8400000,0.33767707172476263,0.00899853772428918,0.05950733638363198,0.0,168,0.0,0.0,0.18749869047619047,0.007010853120600662,0.046362776682894354,1,2,112,112,96,0.7920746703296703,0.004014558305596578,1574989,0.0,0,3784241,0,0,1440.8582368930802
5,x,5,0.1,m2,8400000,0.9534140006330398,0.0015876649441752344,0.010499229407297842,0.0,168,0.0,0.0,0.9035604761904762,0.0026263712414389562,0.017368194891348387,2,1,80,80,64,0.9825465476190477,0.00048509028106870366,7589908,0.0,0,439827,0,0,2529.1449748279992
5,x,5,0.3,m2,8400000,0.8694123826220848,0.003699896754011829,0.024467419871052647,0.0,168,0.0,0.0,0.7430783333333333,0.005554082554015531,0.036729151887883185,2,1,80,80,64,0.9514132142857143,0.0011229854574828198,6241858,0.0,0,1224387,0,0,2768.4446436120197
5,x,5,0.5,m2,8400000,0.7847613411027503,0.0061749420068715226,0.04083489589208223,0.0,168,0.0,0.0,0.6032911904761905,0.00805964910200181,0.05329846525533622,2,1,80,80,64,0.922493373015873,0.0018381664039652048,5067646,0.0,0,1953167,0,0,2588.109771906631
