n,lstate,i,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,z,3.0,0.8,m1,1125,0.0,112500000.0,98696824.0,261980.0,7859041.0,0.0,0.8773051022222222,0.0007070046160731145,0.012098803943461411,0.04241891979163376,0.00046802538451175355,0.008009208481865496,0.0,2816.0262829368985
3,z,3.0,0.8,normal,1125,0.0,112500000.0,96379276.0,424449.0,7818968.0,0.0,0.8567046755555556,0.0010485723961118712,0.01794397314058148,0.0449405726726652,0.0007182981269330317,0.012292067142344628,0.0,6522.555810818896
3,z,3.0,1.0,m1,1125,0.0,112500000.0,95595857.0,340842.0,9427030.0,0.0,0.8497409511111111,0.0008482914810950032,0.014516612881089831,0.05279760918513469,0.0005729525297200342,0.009804802073988251,0.0,3080.41433871094
3,z,3.0,1.0,normal,1125,0.0,112500000.0,92873060.0,534685.0,9333822.0,0.0,0.8255383111111111,0.0012388885499837084,0.021200808782982535,0.055968537907891025,0.0008814862933043935,0.015084667906093939,0.0,6682.5758254881475
3,z,4.0,0.1,m1,1125,0.0,112500000.0,112500000.0,4.0,1435.0,0.0,1.0,0.0,0.0,6.4133333333333335e-06,3.343775299368819e-07,5.722124135872491e-06,0.0,24.915854647351754
3,z,4.0,0.1,normal,1125,0.0,112500000.0,112500000.0,3.0,2144.0,0.0,1.0,0.0,0.0,9.555555555555556e-06,4.2899607959481365e-07,7.341309153481482e-06,0.0,222.21334296393613
3,z,4.0,0.3,m1,1125,0.0,112500000.0,112500000.0,45.0,13046.0,0.0,1.0,0.0,0.0,5.838222222222222e-05,1.1642328532445578e-06,1.992324337877577e-05,0.0,28.812211427135427
3,z,4.0,0.3,normal,1125,0.0,112500000.0,112500000.0,68.0,18985.0,0.0,1.0,0.0,0.0,8.498222222222221e-05,1.560444481014816e-06,2.670351990813909e-05,0.0,338.77619018082254
3,z,4.0,0.5,m1,1125,0.0,112500000.0,112500000.0,152.0,36251.0,0.0,1.0,0.0,0.0,0.00016246666666666667,2.3353103652779802e-06,3.9963617795827256e-05,0.0,33.79734045706568
3,z,4.0,0.5,normal,1125,0.0,112500000.0,112500000.0,307.0,52702.0,0.0,1.0,0.0,0.0,0.00023695999999999998,3.262526978885496e-06,5.5830857932767776e-05,0.0,396.5594032802401
3,z,4.0,0.8,m1,1125,0.0,112500000.0,112500000.0,622.0,91668.0,0.0,1.0,0.0,0.0,0.00041294222222222225,4.642400355103413e-06,7.944430693454383e-05,0.0,44.137505402948534
3,z,4.0,0.8,normal,1125,0.0,112500000.0,112500000.0,1076.0,132680.0,0.0,1.0,0.0,0.0,0.0005992533333333333,7.12361913188545e-06,0.00012190482110750437,0.0,429.66647899961026
3,z,4.0,1.0,m1,1125,0.0,112500000.0,112500000.0,1220.0,141754.0,0.0,1.0,0.0,0.0,0.0006408622222222222,7.284385654710103e-06,0.00012465598085400077,0.0,47.49529231989067
3,z,4.0,1.0,normal,1125,0.0,112500000.0,112500000.0,2320.0,204861.0,0.0,1.0,0.0,0.0,0.0009311155555555555,1.0830854557719773e-05,0.00018534587024598086,0.0,522.8708567468711
3,z,5.0,0.1,m1,1125,0.0,112500000.0,110633124.0,47017.0,1039382.0,0.0,0.9834055466666667,0.00010768785394246214,0.001842836952293985,0.005121524352569449,5.5115481527471126e-05,0.0009431782906229034,0.0,498.85536999422766
3,z,5.0,0.1,normal,1125,0.0,112500000.0,110304977.0,34252.0,1051191.0,0.0,0.9804886844444445,0.0001472613609054369,0.0025200490824771955,0.005074763770392512,9.047778954285286e-05,0.0015483251622837137,0.0,1527.4920883489685
3,z,5.0,0.3,m1,1125,0.0,112500000.0,107014470.0,138382.0,3001388.0,0.0,0.9512397333333333,0.00030466135800680017,0.005213598264953609,0.015308673351834294,0.00016037840766424424,0.0027445180229114033,0.0,814.310648138915
3,z,5.0,0.3,normal,1125,0.0,112500000.0,106075703.0,102337.0,3026096.0,0.0,0.9428951377777778,0.000411710023057332,0.007045496927863776,0.015223103421895735,0.0002662278164225335,0.004555894094557039,0.0,2786.069220665813
3,z,5.0,0.5,m1,1125,0.0,112500000.0,103546710.0,229518.0,4824036.0,0.0,0.9204152000000001,0.00048362778410660406,0.00827620868165785,0.025490036793515535,0.000263688330642196,0.004512436470837176,0.0,1346.453211268028
3,z,5.0,0.5,normal,1125,0.0,112500000.0,102052712.0,170773.0,4830471.0,0.0,0.9071352177777777,0.0006563837208244698,0.011232540452202237,0.025325642671370975,0.0004345407436336273,0.007436193686924232,0.0,4292.934819565162
3,z,5.0,0.8,m1,1125,0.0,112500000.0,98606520.0,359114.0,7296068.0,0.0,0.8765024,0.000723125458372774,0.01237467613149656,0.04058854981636672,0.0004076971489142746,0.006976825555141627,0.0,1680.855036825138
3,z,5.0,0.8,normal,1125,0.0,112500000.0,96381950.0,274583.0,7259653.0,0.0,0.8567284444444444,0.000970901664862088,0.01661481215892358,0.04047680169466537,0.0006793312243363249,0.011625235690210576,0.0,4555.275989537906
3,z,5.0,1.0,m1,1125,0.0,112500000.0,95483776.0,442304.0,8781687.0,0.0,0.8487446755555555,0.0008676161647638049,0.01484731165400147,0.05054365641217902,0.0004987076709963014,0.008534267244247424,0.0,1497.355627085879
3,z,5.0,1.0,normal,1125,0.0,112500000.0,92832205.0,343748.0,8707467.0,0.0,0.8251751555555555,0.001155297408063264,0.01977033320402121,0.050555297575496344,0.0008339540849273502,0.014271260387840722,0.0,4058.191700834843
3,z,6.0,0.1,m1,1125,0.0,112500000.0,111830634.0,39.0,17460.0,0.0,0.9940500800000001,3.410121487489068e-05,0.0005835660809355806,7.840616723888235e-05,4.0399452802396315e-06,6.913463473465755e-05,0.0,59.32570472813308
3,z,6.0,0.1,normal,1125,0.0,112500000.0,111958350.0,144.0,45869.0,0.0,0.9951853333333333,1.4518631927855157e-05,0.00024845393824731853,0.00020613549117283006,2.162021211081723e-06,3.6998161199809855e-05,0.0,290.39196143699513
3,z,6.0,0.3,m1,1125,0.0,112500000.0,110508966.0,492.0,61451.0,0.0,0.98230192,9.486896910514067e-05,0.0016234703867940455,0.00028242755823854775,1.1694135497402798e-05,0.00020011899421137222,0.0,89.99956712092893
3,z,6.0,0.3,normal,1125,0.0,112500000.0,110884844.0,1426.0,144400.0,0.0,0.9856430577777777,2.9307783231874315e-05,0.000501537211043108,0.0006639918681886365,4.503689778206362e-06,7.707058541051308e-05,0.0,606.8597168752749
3,z,6.0,0.5,m1,1125,0.0,112500000.0,109204693.0,1427.0,118894.0,0.0,0.9707083822222222,0.00015558013094785718,0.0026624062404162815,0.000557228419000808,1.9633860378589442e-05,0.0003359896413311154,0.0,119.2515093351903
3,z,6.0,0.5,normal,1125,0.0,112500000.0,109826180.0,3872.0,252272.0,0.0,0.9762327111111111,4.4396165179779834e-05,0.0007597411475685985,0.0011837784880156432,6.9565227600166685e-06,0.0001190453401409826,0.0,744.356423342113
3,z,6.0,0.8,m1,1125,0.0,112500000.0,107296305.0,3974.0,224835.0,0.0,0.9537449333333334,0.00023998016808774543,0.004106724253285902,0.001084174924397552,3.169945190907217e-05,0.0005424652753941646,0.0,160.10506191786766
3,z,6.0,0.8,normal,1125,0.0,112500000.0,108269244.0,9913.0,429961.0,0.0,0.96239328,6.285062260226378e-05,0.0010755479431136215,0.002077216178757949,1.0761593761776916e-05,0.0001841606265120219,0.0,865.9847069800089
3,z,6.0,1.0,m1,1125,0.0,112500000.0,106049946.0,6354.0,308745.0,0.0,0.9426661866666667,0.00029316896214533883,0.005016931593750307,0.0015145907435834723,3.996433634192527e-05,0.000683900301552629,0.0,171.30510360410332
3,z,6.0,1.0,normal,1125,0.0,112500000.0,107242800.0,15104.0,558347.0,0.0,0.9532693333333334,7.540144843689716e-05,0.0012903272778585252,0.0027441096276077975,1.3331580305419555e-05,0.00022814020263073112,0.0,1105.33110364815
3,z,7.0,0.1,m1,1125,0.0,112500000.0,110748783.0,2.0,1849.0,0.0,0.9844336266666667,0.00010186792396411303,0.0017432418574785963,8.363949654985523e-06,4.2442825586494316e-07,7.2631410588190305e-06,0.0,107.47870214283098
3,z,7.0,0.1,normal,1125,0.0,112500000.0,110737091.0,10.0,1866.0,0.0,0.9843296977777779,0.00014782171038942477,0.0025296382115895973,8.514477713028825e-06,4.838793085271701e-07,8.280512959992444e-06,0.0,361.0898616529885
3,z,7.0,0.3,m1,1125,0.0,112500000.0,107330093.0,59.0,16150.0,0.0,0.9540452711111113,0.00029065214733527714,0.004973861933020133,7.572576462808251e-05,2.1562884188088323e-06,3.690005727208229e-05,0.0,129.32258025290497
