n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,8,0.9,m1,na,val,36000000,0.0429785,1547226,0.01852450923666282,0.0018486975295871023,36,0.03335162341415143,0.004921822871646913,0.015066804709123202,0.001611000230842232,0.004931633359721119,0.00022291306938734153,0.0006823869471041067,0.0030080414559165002,0.00920829017117296,0.04217997222222222,0.0048220882919779535,0.014761494771361084,0,3,144,80,128,1.0,0.0,1547226,2715.0,52064,0,0,0,13036.859581796802
5,x,8,0.9,normal,na,val,36000000,0.03668497222222222,1320659,0.02065273404524957,0.003956267806586965,36,0.03339293247732521,0.004191023199634054,0.012829662856022614,0.00167408456691688,0.0051247486742353465,0.0005691027661123072,0.0017421513248335936,0.002876377736970102,0.008805237970316638,0.03595277777777778,0.004133509658108117,0.012653600994208522,0,3,160,96,160,1.0,0.0,1320659,4726.0,43266,0,0,0,13259.259815059602
5,x,8,1.0,m1,na,val,37000000,0.033129135135135136,1225778,0.02161158541893626,0.002454138356781953,37,0.03831489412430862,0.0029940090946529384,0.00929175833486071,0.0017408639146534327,0.005402684586939887,0.00026723165489152837,0.0008293401516753947,0.0032755286150057987,0.010165440166467803,0.032420148648648645,0.0029354441707218604,0.00911000500584146,0,3,144,80,128,1.0,0.0,1225778,2847.0,46771,0,0,0,12140.013178987312
5,x,8,1.0,normal,na,val,37000000,0.02516597297297297,931141,0.026699168365144455,0.005729009825311593,37,0.04194031707966572,0.00256711166595737,0.007966903394273944,0.001995789431308007,0.006193833250574253,0.0006965610722153084,0.002161742648028383,0.003284356693707072,0.010192837669701797,0.02451312162162162,0.002515480992424247,0.007806670166528362,0,3,160,96,160,1.0,0.0,931141,4869.0,38573,0,0,0,12256.321478794795
5,z,8,0.1,m1,na,val,34000000,0.9491210294117646,32270115,2.9515322254202685e-07,0.0,34,5.903064450840537e-07,0.004348516197063614,0.012936728958690592,1.5864949721018716e-07,4.7197836039489544e-07,0.0,0.0,3.172989944203743e-07,9.439567207897909e-07,0.94912075,0.004348533118827736,0.012936779300523536,3,0,48,48,32,1.0,0.0,32270115,0.0,19,0,0,0,14028.639371551923
5,z,8,0.1,normal,na,val,34000000,0.9334826764705882,31738411,3.141684116365211e-07,3.115946811286483e-08,34,5.660178870473124e-07,0.00654284145232444,0.019464792736787535,1.766723083505697e-07,5.255957811956365e-07,6.107255750121506e-08,1.816893596350809e-07,2.9563910390600433e-07,8.795190781178993e-07,0.9334823823529411,0.006542825190568319,0.019464744358462197,3,0,64,64,64,1.0,0.0,31738411,1.0,18,0,0,0,21401.823132235673
5,z,8,0.15,m1,na,val,34000000,0.9248607647058824,31445266,1.1880026657672885e-06,0.0,34,2.376005331534577e-06,0.006628223622531435,0.019718802597580642,5.307075160289595e-07,1.5788418347947475e-06,0.0,0.0,1.061415032057919e-06,3.157683669589495e-06,0.9248596764705883,0.006628385690937227,0.019719284747110155,3,0,48,48,32,1.0,0.0,31445266,0.0,74,0,0,0,15723.305394092924
5,z,8,0.15,normal,na,val,34000000,0.9193495,31257883,1.1096340872586e-06,0.0,34,2.2192681745172e-06,0.005580008912292155,0.01660038956142021,4.0631788669565636e-07,1.208785740478355e-06,0.0,0.0,8.126357733913127e-07,2.41757148095671e-06,0.9193484852941177,0.005580103445334574,0.01660067079490124,3,0,64,64,64,1.0,0.0,31257883,0.0,69,0,0,0,21948.418881778372
5,z,8,0.3,m1,na,val,34000000,0.8472456470588235,28806352,1.350117539292449e-05,6.965243515724391e-07,34,2.56093020827041e-05,0.013071170784129046,0.03888641227120602,3.28443901640153e-06,9.77112546234201e-06,3.9611182985407087e-07,1.178422971866446e-06,6.067722661153507e-06,1.8051325994106537e-05,0.8472343529411764,0.013072086001140697,0.0388891350193531,3,0,48,48,32,1.0,0.0,28806352,20.0,728,0,0,0,15664.556245268905
5,z,8,0.3,normal,na,val,34000000,0.8274736176470588,28134103,1.1423506915811799e-05,3.9164941987804346e-07,34,2.206371499186751e-05,0.013972609131252067,0.041568169229493364,3.16370437814491e-06,9.41194287677267e-06,2.771800561020415e-07,8.246038639497581e-07,5.957832620162167e-06,1.7724405819237618e-05,0.82746425,0.013973070071101448,0.04156954051423222,3,0,64,64,64,1.0,0.0,28134103,11.0,615,0,0,0,21806.50993685471
