n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,11,0.5,normal,na,val,210000,0.4241190476190476,89065,3.17571901084874e-05,0.0,21,6.35143802169748e-05,0.01664100747484291,0.03890748795601713,2.6522924403889913e-05,6.201189221041685e-05,0.0,0.0,5.3045848807779825e-05,0.0001240237844208337,0.42410476190476193,0.016636655670870602,0.038897313225857585,1,2,128,96,128,1.0,0.0,89065,0.0,6,0,0,0,202.85145099101646
5,x,12,0.1,m1,na,val,5900000,0.7852637288135593,4633056,0.0005009538726037911,7.116569686358241e-06,59,0.0009876746058348658,0.0026758386281216604,0.010486482908356767,5.371159205492127e-05,0.00021049314638975093,2.845768037698359e-06,1.1152428092952623e-05,0.00010657498084048355,0.00041766222495513196,0.7848702542372881,0.00267301504536759,0.010475417423323509,0,3,144,80,128,1.0,0.0,4633056,33.0,4577,0,0,0,15733.932494360488
5,x,12,0.1,normal,na,val,5900000,0.7694937288135593,4540013,0.00043156712312589327,1.1263000134619057e-05,59,0.0008406082459825483,0.00283031500331831,0.01109186839431998,4.839106902188986e-05,0.00018964227247566612,3.466791625484941e-06,1.3586189669816406e-05,9.683167236787303e-05,0.0003794786675854562,0.7691616101694916,0.002828856812648111,0.011086153815204683,0,3,160,96,160,1.0,0.0,4540013,51.0,3817,0,0,0,15498.167822383344
5,x,12,0.15,m1,na,val,5900000,0.6944249152542372,4097107,0.0008283115694502056,2.1675886409563346e-05,59,0.0016132713660812845,0.00327645800421011,0.01284028136076967,7.6610514073442e-05,0.0003002329206210445,5.162524452169987e-06,2.0231685073496534e-05,0.00015140926759284613,0.0005933656387544338,0.6938505084745762,0.0032854245373594567,0.012875420773000908,0,3,144,80,128,1.0,0.0,4097107,89.0,6600,0,0,0,15125.58155430574
5,x,12,0.15,normal,na,val,5900000,0.6787803389830509,4004804,0.0008306625508639362,2.294262385446452e-05,59,0.0016154398540189434,0.0028422426824287533,0.011138612395177697,7.426530448831703e-05,0.0002910421570329611,5.593996389785436e-06,2.1922602848465688e-05,0.00014425343888395696,0.0005653222901525153,0.6782160169491525,0.0028326716172046556,0.011101103850816139,0,3,160,96,160,1.0,0.0,4004804,92.0,6475,0,0,0,14863.980815590825
5,x,12,0.3,m1,na,val,5900000,0.4828532203389831,2848834,0.0022258082054312307,8.595262987098375e-05,59,0.004279711151120494,0.0047082189153950715,0.01845128352143949,0.00018547492354454404,0.0007268673062859334,1.5382230309134244e-05,6.0282220883541895e-05,0.0003534754113695929,0.0013852531392947224,0.48177771186440677,0.004693877197992645,0.01839507902060134,0,3,144,80,128,1.0,0.0,2848834,245.0,12201,0,0,0,13335.855168469949
5,x,12,0.3,normal,na,val,5900000,0.45679237288135593,2695075,0.0022183665722557734,9.231796441570707e-05,59,0.0042520972156801316,0.005844057186325684,0.02290257908522781,0.00017667972312304268,0.0006923993387761032,1.521280858342845e-05,5.961826528762271e-05,0.0003330297479008755,0.001305127567348247,0.4557769491525424,0.005821181544308586,0.02281293054420261,0,3,160,96,160,1.0,0.0,2695075,251.0,11480,0,0,0,13095.040632018354
5,x,12,0.5,m1,na,val,6110000,0.2926355,1804504,0.00462153879021881,0.00025618517848255694,80,0.008730707223472505,0.004648056616198575,0.021210960320587068,0.00027840203130079564,0.0012704609531889862,4.9609922957012756e-05,0.0002263901226334855,0.0005134752539809656,0.0023431950462559363,0.2912909375,0.00464740170767303,0.021207971708378574,0,3,144,80,128,1.0,0.0,1804504,434.0,15416,0,0,0,11987.72155714759
5,x,12,0.5,normal,na,val,6110000,0.26922087499999997,1650838,0.005041427151150276,0.0003124071045945755,80,0.009458040093111401,0.004056578039067876,0.018511804594670545,0.0002914451293830637,0.0013299818796158201,5.547789818343958e-05,0.0002531680644632306,0.0005365029410779104,0.0024482796864872896,0.2678648125,0.004041920181259956,0.018444914867194965,0,3,160,96,160,1.0,0.0,1650838,506.0,15159,0,0,0,11597.600947862607
5,x,12,0.7,m1,na,val,5900000,0.18237508474576272,1076013,0.008762785020422803,0.0007061004967325821,59,0.016113369047380442,0.0038815851972198844,0.015211745730926146,0.0005518416963359494,0.0021626410710752436,9.008157078039819e-05,0.00035302534406182686,0.0009663996731318393,0.003787273846948082,0.18078525423728814,0.00387024299543657,0.015167296187559118,0,3,144,80,128,1.0,0.0,1076013,750.0,17260,0,0,0,10684.368461472448
5,x,12,0.7,normal,na,val,5900000,0.16777593220338985,989878,0.00869624430587208,0.0006558019592949622,59,0.016080884693154236,0.0036084912639233056,0.014141503738829346,0.00038670109377631466,0.0015154629908959588,6.54357435569116e-05,0.00025643953233713885,0.000689333823721995,0.002701466106604189,0.16631661016949154,0.003576716936766539,0.014016981678660171,0,3,160,96,160,1.0,0.0,989878,650.0,15920,0,0,0,10547.305514601758
5,x,12,0.9,m1,na,val,5900000,0.11580694915254237,683261,0.012494412362717816,0.0010886101652436242,59,0.022811604394948386,0.003310321543279346,0.012972990941958163,0.0005641863396387183,0.0022110191345517836,0.00010409347324408673,0.0004079373160151487,0.000996932201775247,0.0039069293584587895,0.11435661016949153,0.003259515148198293,0.012773883122804405,0,3,144,80,128,1.0,0.0,683261,743.0,15628,0,0,0,9991.124542980688
5,x,12,0.9,normal,na,val,5900000,0.09819135593220339,579329,0.014147921342173598,0.0012677496586335154,59,0.025760343367080163,0.0033518738927353353,0.013135832601314193,0.0007123283941658249,0.002791580722414745,0.00012861507050018737,0.0005040362764715997,0.0012682448745117564,0.004970190676077619,0.09680372881355932,0.003309397680563601,0.012969370368401702,0,3,160,96,160,1.0,0.0,579329,734.0,14906,0,0,0,9691.10102387378
5,x,12,1.0,m1,na,val,5900000,0.09133542372881356,538879,0.01569704357173153,0.0014332747042549356,59,0.028527537734953194,0.0032258072594845764,0.012641783527874307,0.0009345226401460495,0.0036623492875738637,0.00014764184733573123,0.0005786012999338358,0.00167109686283027,0.006548948246023112,0.0899034745762712,0.0031782010100824577,0.012455216925748257,0,3,144,80,128,1.0,0.0,538879,764.0,15369,0,0,0,9521.779819131829
5,x,12,1.0,normal,na,val,5900000,0.07630694915254238,450211,0.01654887126182823,0.001666952860702879,59,0.029763836802250695,0.0026163586771632418,0.010253383840812026,0.0007742267281810156,0.0030341573168642007,0.00015215248371526515,0.0005962782669985492,0.001348322180551495,0.005284009787704105,0.07504966101694915,0.002584154429277166,0.010127176941978639,0,3,160,96,160,1.0,0.0,450211,743.0,13350,0,0,0,9522.993341353489
