n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,28,0.5,normal,na,val,190000,0.10341578947368421,19649,0.25529313318670505,0.02396658733026153,19,0.4910189954002988,0.021716530120004494,0.04829600010074327,0.04214967505923737,0.09373784392157779,0.004681483153499704,0.01041128161836394,0.06675879606895044,0.14846675798826295,0.07780526315789474,0.016674947640492706,0.037083883496805976,0,3,160,64,160,1.0,0.0,19649,467.0,8798,0,0,0,113.01144408094115
5,x,29,0.5,m1,na,val,190000,0.5220473684210527,99189,0.030390267810168525,0.004480797542501503,19,0.05181894053533404,0.02587776668433329,0.057550290745679814,0.00260520432817322,0.005793786935602979,0.0006571096106935184,0.001461364483593062,0.0041515694389199324,0.00923279165374686,0.5062710526315789,0.025571978800456686,0.05687024049875263,2,1,80,16,64,1.0,0.0,99189,440.0,5115,0,0,0,226.48510247303057
5,x,29,0.5,normal,na,val,190000,0.4092578947368421,77759,0.09714311720950856,0.030897379790191703,19,0.13249147483863372,0.10279845378736163,0.22861636306701297,0.047187835884247686,0.104942351012152,0.024934743769764206,0.055453075650756425,0.0477917484334626,0.10628540905948052,0.3885105263157895,0.0988364268389627,0.2198051002712702,2,1,96,32,96,1.0,0.0,77759,677.0,6530,0,0,0,206.76521399301419
5,x,30,0.5,m1,na,val,190000,0.12879473684210527,24471,0.29210037615371975,0.07195359256146149,19,0.44029356718451657,0.029177515697052923,0.06488869507501296,0.06126296378605689,0.13624442251286425,0.05801071557450003,0.12901165654679933,0.04000295363425794,0.0889636899667722,0.09747894736842105,0.022808805779881144,0.05072514255987161,0,3,144,48,128,1.0,0.0,24471,912.0,10076,0,0,0,117.86714783897332
5,x,30,0.5,normal,na,val,190000,0.07793684210526317,14808,0.27744779812021403,0.04698623942598981,19,0.4917506505129166,0.025495866433414657,0.05670097207207412,0.05533748386373205,0.1230665816080718,0.02153389309862997,0.04788982850915102,0.08160024741337765,0.181473077674913,0.05959736842105263,0.01976614436179609,0.04395848253903338,0,3,160,64,160,1.0,0.0,14808,538.0,5893,0,0,0,102.99025875901862
5,x,31,0.5,m1,na,val,190000,0.3165578947368421,60146,0.21492904472120497,0.03790694813867777,19,0.35404419316505437,0.04044418386766448,0.08994495425159565,0.032210689990427185,0.07163425641325981,0.005561149436532987,0.012367596124375232,0.07113718179161958,0.1582039727336487,0.2540578947368421,0.03332100060236045,0.07410350730783016,1,2,112,16,96,1.0,0.0,60146,2360.0,19030,0,0,0,191.42638537302264
5,x,31,0.5,normal,na,val,190000,0.31792631578947367,60406,0.2590668030425801,0.06747164404225407,19,0.38319031800065206,0.01796123187506032,0.039944487063719135,0.00946286438992746,0.02104472938373646,0.005408435038897903,0.012027970294520629,0.00963233306836321,0.021421615528326683,0.23591052631578946,0.014798350267665173,0.03291046599381152,1,2,128,32,128,1.0,0.0,60406,4039.0,23088,0,0,0,172.43068942803075
5,z,2,0.5,m1,na,val,190000,0.36132105263157893,68651,0.20192900015526458,0.0414647656457978,19,0.32092846901893357,0.02222535292648193,0.049427585403602405,0.008681642450851294,0.01930734801388448,0.003380721948245939,0.0075184823105173436,0.01152272759942109,0.025625716918277325,0.2881947368421052,0.01742513369159325,0.03875224328537797,1,2,112,112,96,1.0,0.0,68651,2848.0,22092,0,0,0,194.0769727739971
5,z,2,0.5,normal,na,val,190000,0.2884157894736842,54799,0.21810895230445687,0.046498566946138575,19,0.3432207707166366,0.025576579346600386,0.05688047178228604,0.0074220799431956265,0.01650617164452543,0.00397384458531579,0.008837544369759094,0.008255404306231975,0.018359425055579432,0.22588684210526316,0.020982236755703418,0.046662984503855066,1,2,128,128,128,1.0,0.0,54799,2533.0,18695,0,0,0,181.74539423898386
5,z,3,0.5,m1,na,val,190000,0.07721578947368421,14671,0.32711742816473316,0.07446999774811215,19,0.5822636674602382,0.03757527790821995,0.08356471386601387,0.08245168699986713,0.18336661803921794,0.045956240694171514,0.10220337194434956,0.0890373140537934,0.19801257865549962,0.058368421052631576,0.028653501868784098,0.06372332603295089,0,3,144,112,128,1.0,0.0,14671,491.0,6180,0,0,0,109.84220183202706
5,z,3,0.5,normal,na,val,190000,0.08845263157894738,16806,0.25921125799669964,0.04366259338328691,19,0.4310973292268255,0.0248158298650363,0.05518861968458767,0.041160593252718466,0.09153819716570506,0.014505089796684707,0.03225827581159774,0.060472519409076456,0.13448653110482972,0.06648684210526316,0.019245792998416264,0.04280125855530569,0,3,160,128,160,1.0,0.0,16806,637.0,7073,0,0,0,119.0375059889775
5,z,4,0.5,m1,na,val,190000,0.5432157894736842,103211,0.02890699997355721,0.0037862259174092695,19,0.050241548112295885,0.025538685085866313,0.05679619767357176,0.0033323904065502867,0.007410996440090369,0.0006911637622395393,0.0015370984658364926,0.005456962506033836,0.012135891889026508,0.527528947368421,0.02490599336086546,0.05538913681046301,2,1,80,80,64,1.0,0.0,103211,392.0,5177,0,0,0,193.72343801002717
5,z,4,0.5,normal,na,val,190000,0.4277157894736842,81266,0.03820229583115418,0.006626714153161728,19,0.06315116335598489,0.06361367905258355,0.14147224409032752,0.012731228084200172,0.028313335023569128,0.003559487738120577,0.007916044561857023,0.01838670464674848,0.04089070788770732,0.41465526315789475,0.062295274683659495,0.13854020765621403,2,1,96,96,96,1.0,0.0,81266,365.0,4233,0,0,0,211.7116152769595
5,z,5,0.5,m1,na,val,190000,0.09411052631578948,17881,0.25778062892349246,0.04011000979931898,19,0.5320089740946565,0.03477564580523015,0.0773385335517155,0.07882595890812961,0.1753032596980749,0.023384940144005467,0.052006423922687416,0.09675151089976464,0.21516839726885106,0.07272894736842106,0.026934578500490348,0.05990056416862282,0,3,144,112,128,1.0,0.0,17881,333.0,7459,0,0,0,97.3969908690342
