n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,3,0.0005,m1,val,51000000,0.888448862745098,45310892,0.0,9.671795255024063e-05,51,0.0003524001713738505,0.0,0.0,0.888448862745098,9.671795255024063e-05,0.0003524001713738505,1,2,112,112,96,1.0,0.0,45310892,0.0,0,0,0,2116.38345171744,36.81273179547861
5,x,3,0.0005,normal,val,51000000,0.8706683137254901,44404084,0.0,9.328241061669193e-05,51,0.0003398824791127812,0.0,0.0,0.8706683137254901,9.328241061669193e-05,0.0003398824791127812,1,2,128,128,128,1.0,0.0,44404084,0.0,0,0,0,11859.01282187784,2136.2331325882114
5,x,3,0.001,m1,val,51000000,0.7893463333333334,40256663,0.0,0.00012990663959927168,51,0.00047332600463811697,0.0,0.0,0.7893463333333334,0.00012990663959927168,0.00047332600463811697,1,2,112,112,96,1.0,0.0,40256663,0.0,0,0,0,3249.251526088454,-57.074293359648436
5,x,3,0.001,normal,val,51000000,0.758101137254902,38663158,0.0,0.00012967475455796307,51,0.00047248111156354797,0.0,0.0,0.758101137254902,0.00012967475455796307,0.00047248111156354797,1,2,128,128,128,1.0,0.0,38663158,0.0,0,0,0,11576.974323242437,1720.3895169016905
5,x,3,0.005,m1,val,324000000,0.30766521604938274,99683530,0.0,5.120115363172798e-05,324,0.0004702146762097468,0.0,0.0,0.30766521604938274,5.120115363172798e-05,0.0004702146762097468,1,2,112,112,96,1.0,0.0,99683530,0.0,0,0,0,8076.675344189629,264724.2161736257
5,x,3,0.005,normal,val,324000000,0.25186912037037035,81605595,0.0,4.758796487787194e-05,324,0.0004370323305110689,0.0,0.0,0.25186912037037035,4.758796487787194e-05,0.0004370323305110689,1,2,128,128,128,1.0,0.0,81605595,0.0,0,0,0,10152.935414353851,309522.3742856894
5,x,3,0.01,m1,val,462000000,0.09571804761904762,44221738,0.0,2.6661486597385233e-05,462,0.00029238108787584807,0.0,0.0,0.09571804761904762,2.6661486597385233e-05,0.00029238108787584807,1,2,112,112,96,1.0,0.0,44221738,0.0,0,0,0,9346.454525677022,481724.2420878715
5,x,3,0.01,normal,val,462000000,0.06446407142857143,29782401,0.0,2.3086645819553847e-05,462,0.00025317787871541845,0.0,0.0,0.06446407142857143,2.3086645819553847e-05,0.00025317787871541845,1,2,128,128,128,1.0,0.0,29782401,0.0,0,0,0,9279.507688086014,467651.4095752211
5,x,4,0.0001,m1,val,51000000,0.9689941960784313,49418704,0.0,5.0508739838748355e-05,51,0.0001840329339664859,0.0,0.0,0.9689941960784313,5.0508739838748355e-05,0.0001840329339664859,0,3,144,112,128,1.0,0.0,49418704,0.0,0,0,0,8975.895186259877,1365.1851228391752
5,x,4,0.0001,normal,val,51000000,0.9631950980392158,49122950,0.0,4.95994371001545e-05,51,0.00018071981129937057,0.0,0.0,0.9631950980392158,4.95994371001545e-05,0.00018071981129937057,0,3,160,128,160,1.0,0.0,49122950,0.0,0,0,0,11437.690335114952,2549.806968426332
