n,lstate,i,p_error,sim_type,count_accept,count_logerror,count_undecided,LER,detect_normal,decoding_normal
4,x,6,0.0005,normal,933736,22,44,0.9999764387364308,514.8286732249835,171.2780938250362
4,x,6,0.0005,m1,939429,22,45,0.9999765815191994,368.29515651401016,98.94630990998121
4,x,6,0.0001,normal,986340,2,4,0.9999979723016404,516.6764536309929,185.98513872001786
4,x,6,0.0001,m1,987533,0,1,1.0,297.2018698040047,160.03767498998786
4,x,7,0.01,normal,327449,8842,15341,0.9729973217203289,179.43479658701108,-2.9354532370343804
4,x,7,0.01,m1,360392,8387,14884,0.9767281182712158,347.3151020410005,-58.311234016000526
4,x,7,0.005,normal,553836,3588,6669,0.9935215478950448,247.5831848210073,333.06493459997
4,x,7,0.005,m1,584304,3266,6134,0.994410443878529,227.79194327199366,-129.85046886099735
4,x,7,0.001,normal,884581,208,405,0.9997648604254443,182.76606008497765,188.88385425403249
4,x,7,0.001,m1,894571,204,396,0.9997719577316948,97.27017638101825,-48.36034901099629
4,x,7,0.0005,normal,940177,50,99,0.999946818524597,227.39556149599957,438.05702585101244
4,x,7,0.0005,m1,945400,49,98,0.9999481700867358,68.01691587700043,5.396967601001961
4,x,7,0.0001,normal,987690,2,4,0.9999979750731505,480.9747133810015,209.90372528598527
4,x,7,0.0001,m1,988826,2,5,0.9999979773994616,14.887080166983651,3.862643011030741
4,x,8,0.01,normal,343925,68464,122503,0.8009333430253689,171.03160203699372,219.59042837203015
4,x,8,0.01,m1,370605,68791,126984,0.8143818890732721,444.4006329420081,10.522640776995104
4,x,8,0.005,normal,559490,52228,96925,0.90665069974441,174.89547177200438,189.87067312200088
4,x,8,0.005,m1,585758,51606,97963,0.911898770482008,291.94153140002163,-104.40613406003104
4,x,8,0.001,normal,882991,14308,28125,0.9837959843305312,487.31773738600896,105.50570369997877
4,x,8,0.001,m1,893191,14380,28397,0.9839004199549705,136.04819959800807,175.51055376097793
4,x,8,0.0005,normal,939275,7476,14818,0.9920406696654335,541.1565329229925,158.0189965229947
4,x,8,0.0005,m1,944655,7546,14993,0.9920118985237997,150.33305134199327,126.25965108998935
4,x,8,0.0001,normal,987437,1516,3025,0.9984647121791062,287.91496211098274,294.4499793470022
4,x,8,0.0001,m1,988510,1566,3129,0.9984157975134293,357.5320035989862,106.4481730349944
4,x,9,0.01,normal,477766,388,669,0.9991878869572134,273.30699379500584,61.31746191799175
4,x,9,0.01,m1,477766,244,431,0.9994892897359795,89.33634560299106,5.654312789032701
4,x,9,0.005,normal,690350,42,82,0.9999391612949953,76.31585186600569,12.613076863985043
4,x,9,0.005,m1,690350,32,60,0.9999536467009488,23.35209500801284,5.350775472994428
4,x,9,0.001,normal,928417,0,0,1.0,68.1834907559969,-30.986673937994055
4,x,9,0.001,m1,928417,0,0,1.0,4.9701312739925925,-1.6042558159970213
4,x,9,0.0005,normal,963413,0,0,1.0,38.09227983999881,39.84917982801562
4,x,9,0.0005,m1,963413,0,0,1.0,6.199117501004366,0.8545171869918704
4,x,9,0.0001,normal,992502,0,0,1.0,14.731779160007136,28.583722423994914
4,x,9,0.0001,m1,992502,0,0,1.0,3.3497701970045455,0.4970005640061572
4,x,10,0.01,normal,271747,2953,5544,0.9891332747003647,146.9987434229988,30.225951126980362
4,x,10,0.01,m1,303325,3358,6289,0.9889293661913788,330.7064884599822,137.68089593100012
4,x,10,0.005,normal,512486,1394,2707,0.9972799256955311,315.29731529101264,236.6252702799975
4,x,10,0.005,m1,541794,1463,2840,0.9972997116985423,216.22859664200223,311.77173437099555
4,x,10,0.001,normal,872556,96,193,0.9998899784082627,513.3981691319786,157.15856960002566
4,x,10,0.001,m1,883012,79,158,0.9999105334921836,485.4822455700196,131.70207296099397
4,x,10,0.0005,normal,933806,24,48,0.9999742987301431,189.50231358298333,119.52230190200498
4,x,10,0.0005,m1,939480,22,44,0.9999765827904799,275.40556782099884,350.9062382200209
4,x,10,0.0001,normal,986395,1,2,0.9999989862073511,328.977662188001,376.9638806920266
4,x,10,0.0001,m1,987526,0,0,1.0,247.03038531701895,-24.844147960015107
4,x,11,0.01,normal,311318,6662,11801,0.978600659133105,235.17898413399234,200.03665023299982
4,x,11,0.01,m1,344504,6702,12068,0.9805459443141444,421.8596842480183,55.33465223098756
4,x,11,0.005,normal,546940,2878,5436,0.9947379968552309,174.09103127100389,30.426377449010033
4,x,11,0.005,m1,578007,2850,5389,0.9950692638670466,395.8415643789922,-82.55830440300633
4,x,11,0.001,normal,883995,194,379,0.9997805417451456,536.0376542870072,131.89834648900433
4,x,11,0.001,m1,894206,172,341,0.9998076505861065,133.61560269701295,36.30138060299214
4,x,11,0.0005,normal,940014,48,97,0.9999489369307266,256.913461921009,80.45417018199805
4,x,11,0.0005,m1,945292,44,88,0.9999534535360503,146.93985103300656,18.264007789985044
4,x,11,0.0001,normal,987617,0,0,1.0,543.938500533026,152.41755313199246
4,x,11,0.0001,m1,988817,2,3,0.9999979773810523,357.37795718901907,96.7264236129995
4,x,12,0.01,normal,307745,51961,96190,0.8311556645924385,441.617397280992,48.901961135998135
4,x,12,0.01,m1,339356,55154,103786,0.8374745105435001,429.7363089779974,72.72849461997976
4,x,12,0.005,normal,542806,46038,88141,0.9151851674447224,478.7989430000016,89.89539075299399
4,x,12,0.005,m1,572421,47258,91251,0.9174418828100297,239.40613712000777,19.223355909984093
4,x,12,0.001,normal,882109,14716,29151,0.9833172544436118,186.49702108700876,117.45360399698257
4,x,12,0.001,m1,892196,14796,29373,0.9834162000277966,273.81969455999206,-40.93659845698858
4,x,12,0.0005,normal,939029,7830,15567,0.9916615993755251,529.9078881139867,157.16216628899565
4,x,12,0.0005,m1,944263,7846,15641,0.9916908742585487,387.38223396701505,296.5115375929745
4,x,12,0.0001,normal,987466,1612,3223,0.9983675387304475,233.65273066001828,457.47027030496974
4,x,12,0.0001,m1,988531,1662,3323,0.9983187173695109,531.6213837380055,164.06018375899293
4,x,13,0.01,normal,443630,22162,36676,0.9500439555485427,205.04767405299935,-33.317686134018004
4,x,13,0.01,m1,471034,20108,33674,0.9573109372147234,150.40133180099656,-34.6616808460094
4,x,13,0.005,normal,663341,9822,17815,0.9851931359587301,288.7783518229844,247.7369314210373
4,x,13,0.005,m1,684403,8644,15749,0.9873700144505503,218.20911402101046,33.81843604097958
4,x,13,0.001,normal,920854,627,1230,0.9993191103041307,514.5967846940039,143.58839332000935
4,x,13,0.001,m1,926692,540,1056,0.9994172821174673,43.42294946499169,32.73788917800994
4,x,13,0.0005,normal,959448,172,335,0.9998207302532289,234.39701408101246,99.3968944310036
4,x,13,0.0005,m1,962630,158,311,0.9998358663245484,21.446871816995554,5.166751882992685
4,x,13,0.0001,normal,991690,5,10,0.9999949581018261,193.66019388398854,290.9223830940027
4,x,13,0.0001,m1,992340,4,9,0.9999959691234859,41.028400468989275,11.225718365021748
4,x,14,0.01,normal,299938,48516,87929,0.838246570957998,193.8210646279913,-32.19736687699333
4,x,14,0.01,m1,333629,52950,96847,0.8412907750825018,225.89065156198922,-59.38645722498768
4,x,14,0.005,normal,542186,46060,87363,0.915047603589912,461.9621485120151,87.18322699397686
4,x,14,0.005,m1,572786,47639,90962,0.916829321945718,469.4529054960003,93.75268638200941
4,x,14,0.001,normal,883674,15564,30798,0.9823871699291821,428.3952949200175,237.6727588319918
4,x,14,0.001,m1,893864,15548,30790,0.9826058550294005,210.4931506770081,37.643709905969445
4,x,14,0.0005,normal,939904,8341,16582,0.9911256894321122,531.1972722400096,155.09393254396855
4,x,14,0.0005,m1,945309,8251,16430,0.9912716371049043,526.9281321119925,155.76745775801828
4,x,14,0.0001,normal,987616,1693,3384,0.9982857709879144,353.7460602099891,-110.80833183499635
4,x,14,0.0001,m1,988819,1731,3460,0.998249426841515,183.67027006400167,183.38431107997894
4,x,15,0.01,normal,438844,105140,159729,0.7604160020417278,448.4669720119855,73.44799115299247
4,x,15,0.01,m1,467597,104856,162637,0.7757556186203076,225.7244785260118,-52.119145665026736
4,x,15,0.005,normal,662039,91383,157228,0.8619673463345815,490.2157110630069,110.97312354497262
4,x,15,0.005,m1,683353,87548,152395,0.8718846628316551,257.3427897579968,174.63324902000022
4,x,15,0.001,normal,921050,28596,55325,0.9689528255795017,274.2965596180002,-38.57772782898974
4,x,15,0.001,m1,926602,26442,51368,0.9714634762281972,129.3306514090218,38.80184543598443
4,x,15,0.0005,normal,959679,15194,29901,0.9841676227155122,531.9243609230034,155.53349840498413
4,x,15,0.0005,m1,962489,13910,27379,0.9855478867810438,299.4759868250112,170.85732947298675
4,x,15,0.0001,normal,991780,3146,6273,0.9968279255480046,260.89159110499895,-18.271721986006014
4,x,15,0.0001,m1,992414,2902,5790,0.9970758171488915,350.6600797159772,108.96361939201597
4,x,16,0.01,normal,405499,140383,0,0.6538018589441651,451.02027200799785,-186.73888265699497
4,x,16,0.01,m1,423913,136871,0,0.6771247873974141,446.2469797199883,75.62293156501255
4,x,16,0.005,normal,636339,141251,0,0.7780255492748362,170.21037059399532,38.23500351299299
4,x,16,0.005,m1,649845,130199,0,0.7996460694473297,371.88187510397984,133.39859927000361
4,x,16,0.001,normal,913547,50429,0,0.9447986803087307,527.155755639018,156.91480596998008
4,x,16,0.001,m1,917311,44145,0,0.9518756452282814,246.08697231198312,63.65192652802216
4,x,16,0.0005,normal,955796,27155,0,0.9715891257130183,206.26596305400017,259.85506826499477
4,x,16,0.0005,m1,957761,23683,0,0.9752725366766866,461.0437284770014,104.03686757298419
4,x,16,0.0001,normal,990986,5834,0,0.9941129339869584,291.0957712669915,275.2570644330117
4,x,16,0.0001,m1,991356,5036,0,0.9949200892514899,428.7361979819834,206.03011230702396
