n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,8,1.0,m1,init,16,16000000,0.384644125,0.017810312051991628,0.03634757561630945,0.23696492237798625,0.017062061257139657,0.03482053317783603,6154306,101988.0,2705944,0,0,0,5982.836495324003
4,x,9,0.1,m1,init,245,245000000,1.0,0.0,0.0,1.2857142857142858e-07,3.125358995772968e-08,2.49589827451387e-07,245000000,0.0,63,0,0,0,391.73572117598087
4,x,9,0.3,m1,init,245,245000000,1.0,0.0,0.0,7.753061224489796e-06,3.765829105583392e-07,3.0073749541898923e-06,245000000,54.0,3691,0,0,0,927.5989989000227
4,x,9,0.5,m1,init,246,246000000,1.0,0.0,0.0,5.574186991869919e-05,1.8973710792463257e-06,1.5183215590671355e-05,246000000,680.0,26065,0,0,0,1230.2566388158884
4,x,9,0.8,m1,init,246,246000000,1.0,0.0,0.0,0.00032873780487804877,1.0410440980472062e-05,8.330682992346105e-05,246000000,6444.0,148851,0,0,0,2581.7982100869995
4,x,9,1.0,m1,init,305,305000000,1.0,0.0,0.0,0.0008058098360655738,9.268868431708818e-06,8.258868778653641e-05,305000000,24795.0,441954,0,0,0,3366.5832317649797
4,x,10,1.0,m1,init,16,16000000,0.3352394375,0.024433097704839354,0.04986346470375379,0.030468036062520954,0.004129370495192528,0.00842728672488271,5363831,18473.0,291646,0,0,0,5052.668226716002
4,x,11,1.0,m1,init,16,16000000,0.57432925,0.014883255511478432,0.030373990839751903,0.03033071226358103,0.0037988431612778076,0.007752741145464914,9189268,28733.0,502203,0,0,0,7707.360710823004
4,x,12,1.0,m1,init,16,16000000,0.35941825,0.02392844388387887,0.04883355894669157,0.2246029843499569,0.01122903130047301,0.02291639040912859,5750692,96203.0,2377534,0,0,0,6568.637283304003
4,x,13,1.0,m1,init,16,16000000,0.6079859375000001,0.07084560822966106,0.1445828739380838,0.07093248093989166,0.022806039133939086,0.04654293700803895,9727775,121716.0,971544,0,0,0,4621.997601728012
4,x,14,1.0,m1,init,16,16000000,0.34079325,0.025647288347143835,0.05234140479008946,0.22196186487275582,0.012152727351619397,0.024801484391059996,5452692,152711.0,2127226,0,0,0,6629.779742118006
4,x,15,1.0,m1,init,16,16000000,0.569295875,0.016428578153365916,0.033527710517073296,0.19948026158994125,0.012980500218067,0.026490816771565305,9108734,365800.0,2916120,0,0,0,7255.253570127004
4,z,2,1.0,m1,init,16,16000000,0.571411,0.017688945809446067,0.03609988940703279,0.20545511271346506,0.012565599224003356,0.025644080048986443,9142576,382962.0,2999073,0,0,0,7572.358132257013
4,z,3,1.0,m1,init,16,16000000,0.367120625,0.02940131871062382,0.06000269124617106,0.22875169163888617,0.01630861869352618,0.03328289529291058,5873930,174216.0,2316920,0,0,0,5733.967303614002
4,z,4,1.0,m1,init,16,16000000,0.6282613125000001,0.05692483383236772,0.1161731302701382,0.05352113091835478,0.010967782767518922,0.022383230137793718,10052181,87865.0,841115,0,0,0,4740.067419710005
4,z,5,1.0,m1,init,16,16000000,0.3290625625,0.02618590232872463,0.05344061699739721,0.22488333025282894,0.016854778208949064,0.03439750654887564,5265001,84789.0,2218066,0,0,0,5739.554099171994
4,z,6,1.0,m1,init,16,16000000,0.572797125,0.025868401434039647,0.052792655987836015,0.032494851262468955,0.003855595204539285,0.007868561641916908,9164754,32151.0,534529,0,0,0,6992.194794619994
4,z,7,1.0,m1,init,16,16000000,0.37675025,0.027119013081831112,0.05534492465679819,0.032334587599862165,0.005311240521969261,0.01083926637136584,6028004,22853.0,336152,0,0,0,6287.3018310469915
4,z,8,1.0,m1,init,16,16000000,1.0,0.0,0.0,0.00072671875,6.664702348864376e-05,0.00013601433365029338,16000000,1099.0,21057,0,0,0,170.82781294500546
4,z,9,1.0,m1,init,16,16000000,0.3723280625,0.025701057099497025,0.052451136937749034,0.22417288579248382,0.011757289535912601,0.02399446844063796,5957249,95893.0,2468048,0,0,0,6023.787271732003
4,z,10,1.0,m1,init,16,16000000,0.560293625,0.03219219310426506,0.06569835327401033,0.033600727402931914,0.0036211681516609483,0.007390139085022344,8964698,31087.0,542810,0,0,0,5116.273590695999
4,z,11,1.0,m1,init,16,16000000,0.32096800000000003,0.02953260686832437,0.06027062626188647,0.017502866314234825,0.001385121709282583,0.0028267789985358836,5135488,7336.0,165483,0,0,0,4658.194808285995
4,z,12,1.0,m1,init,16,16000000,0.65553775,0.06441158064514801,0.13145220539826125,0.0011127060061129463,0.0009574204084525187,0.0019539192009235076,10488604,876.0,14646,0,0,0,817.8095907440038
4,z,13,1.0,m1,init,16,16000000,0.35312618749999997,0.03186328319222157,0.06502710855555423,0.01031295272764267,0.0016638027665840972,0.003395515850171627,5650019,2786.0,108850,0,0,0,3101.3912395740026
4,z,14,1.0,m1,init,16,16000000,0.5754985,0.018994745551911985,0.03876478684063671,8.095403616297429e-05,1.9321184837407644e-05,3.943098946409723e-05,9207976,36.0,1396,0,0,0,1063.8390928349954
4,z,15,1.0,m1,init,16,16000000,0.33450275,0.024555254119855076,0.05011276350990832,6.42277849942175e-05,1.7691816457078236e-05,3.610574787158824e-05,5352044,27.0,603,0,0,0,1307.980105963994
