,list_key,list_value
200,101001011011110100011000111101100000011000000000,14
201,010110101111010010101110111110110000000100000000,14
202,111011000111001110011111001001000111101100000000,9
203,001101001011010110000001011111101101010000000000,11
204,100110100000011010011100001101101100011100000000,1
205,110010001111101000110010010001011110000000000000,12
206,011011101001111111110001100011101101110000000000,1
207,010010100111000001111010101001110000100000000000,1
208,100011000010010010101000010001101011100100000000,22
209,011110010100100000110001111011001011011000000000,9
210,100011100110101111100101011011011001110100000000,16
211,110101110100001110010100101001111010011100000000,14
212,000000111100101111001000001101110011110100000000,14
213,011101010111001100000110001001001000101100000000,19
214,001100101011010110000111000111101110010000000000,11
215,001111001011110110000001111101101111011000000000,21
216,010001000100100000001100000011000101011000000000,13
217,101111011000110000110001011001000110101100000000,9
218,001101010110001001010111011001001100111000000000,14
219,010100010101101000001011010011110001000000000000,17
220,000000001110001011100010000011010000011100000000,1
221,000011110011111100110000111111000000110000000000,17
222,000110101001100110000011101100000100111100000000,15
223,101010000010000110000001101000110000110100000000,1
224,100000010100010111000100100100011001010000000000,11
225,101110010000011110111110001001110111001000000000,14
226,001001010100111001101011011110101000010100000000,16
227,010000011101111110111110010100100101100000000000,1
228,010001010110001000100111000101000100111000000000,11
229,110101100000111111011001101111111011000000000000,17
230,011101111101000110100110000011001010100100000000,14
231,001011110010000110001110110100111000100100000000,1
232,001001110010101100001100010110011010100100000000,14
233,111001010100000010100101101101000100010000000000,10
234,001100001011001010000010001110011100011000000000,12
235,110110111010101001110001011000001001000010000000,2
236,000110010000111000010111100011100111000100000010,2
237,111101011100000100110100101011010000110100000000,12
238,010001010000101101001110000110110100000100000000,14
239,110000011111111000111111110100011101000100000000,13
240,110010011110000100101000010111111111010100000000,9
241,011101001010011011010010001111001001001100000000,10
242,010001010000100101001100000110010100001100000000,14
243,011100000000101001111010011110101000000000000000,11
244,011000101001101111111001010000101110110100000000,15
245,011010011001101011110011111100111111110000000000,12
246,000110100010001000111000101100000100101000000000,15
247,110010010101001110011010010101101111001100000000,15
248,011110001001001011101010111110111010111000000000,15
249,101111101110101101010101010101010101010100000000,18
250,010101011100000010010101000011000000110000000000,20
251,100011101100010101001011011010011001110000000000,12
252,111101111110110000011011100000100010011100000000,14
253,111010000000101011100010011010100110000000000000,11
254,000000100010101000101000001010000010100000000000,19
255,110000011101111000011111110100111101100100000000,10
256,110011000111101010110110000011011011100000000000,2
257,111100001001100101101001111100000000111100000000,6
258,100011000010101010100110010010001011100000000000,15
259,111110001010011101011111011111010010001000000000,13
260,010111110010100101110110101010110000101100000000,14
261,100111001001110000000000010101011111111100000000,16
262,101011000000110110100011011011010011001000000000,1
263,001100001111110111101101001100101100001000000000,2
264,101001011101000001110101111011010000100000000000,1
265,001011001111001111011111111011001011001100000000,15
266,001000100111001001010000000001011010101000000000,16
267,110101100110000110110111101101111011110100000000,20
268,111110111011111001000101010001010001010100000000,13
269,111001111100010000101011100110000110110100000000,1
270,101100111000100100111010100010010111101100000000,1
271,100111110100011111011000011000111100011000000000,12
272,101101101100011001110000110110100111111100000000,16
273,010101101110000110110111001111110011010100000000,13
274,000001010000001000000111010100100000001000000000,15
275,001001110101110101111010010110001010001000000000,16
276,111010001011001101011011011010000110011100000000,15
277,011110100011010101001111110101101000110000000000,13
278,010101111110001110110100001011010010011100000000,21
279,110111101000111001010000001101101001100100000000,12
280,001000100010100100001011000010111010101100000000,16
281,011011100100111000100000100010101101010100000000,14
282,101110101111110101000111000100100100001000000000,20
283,100000010101011111010110100100101001001000000000,14
284,100100100100110111011111101110011110011000000000,13
285,010000111111101110111000011101000111000100000000,11
286,111110111110100000010011010001100000011000000000,1
287,010010001001111011010110110001110110110100000000,14
288,100011010111101111110110010111001010100100000000,20
289,110010000010101111100011010010011110100100000000,19
290,111011101010110101000011010001110101001000000000,1
291,100111110011001110101100011000001100111100000000,14
292,110110011101000100001000010011001011100100000000,15
293,000100000110101001111010000111000100110000000000,8
294,110011000010110011100000000011101111101100000000,15
295,000110111100010111011110101010010101110000000000,14
296,111000111010000101000010110110110111000100000000,14
297,101000100001000010110010100000010010010000000000,12
298,010000111111110010111111011100110111001100000000,15
299,000010000110001001101010100001000010111000000000,10
300,110110110100010110011110011000011001010000000000,16
301,101110101110110001010110000100100100011100000000,8
302,110101011110110000111001100000101000011100000000,10
303,010001100100111000001000001000100111010100000000,1
304,011001101010100011001110000010101111001000000000,1
305,101111101000110100110011010101010101101000000000,18
306,111010100011010111011111010001100100110000000000,8
307,011010011000001111101010111110111111111000000000,1
308,110001000110110010101000100010101101111100000000,15
309,001100010001100000101001001010011101011000000000,11
310,011111001000111111110011101101111011110000000000,1
311,010110000111000100101001110101100010100100000000,19
312,111100011110100100011000111001110001011100000000,9
313,111001101010111101001001101001010111000000000000,1
314,110011000100000010001100000001001111010000000000,11
315,101101111011100000001111110000110110011000000000,11
316,000101110001011100000000011001100110011000000000,10
317,000101111110110011111011011000100110011100000000,16
318,010111111100110110010010101000010000111000000000,21
319,000010010001110000010101100111010011011100000000,13
320,110010010011011111111110010101001111111000000000,13
321,010110010100001100011010110001110011011100000000,10
322,110001011011001101110110100110001100011100000000,17
323,010010101011011111111101111010000100010000000000,1
324,110001110110010010100011101100101110110100000000,16
325,101100101101101001101000100101110110100000000000,17
326,001110110100000101111010100001011101010100000000,18
327,011011110011111101010000100111001100110000000000,15
328,001111100001011100101001110101101101011000000000,21
329,111010111110111000000101010100000101010100000000,20
330,101000011110100101001000101101110001011100000000,12
331,000011000101001101011011110001100011001100000000,1
332,110011000010011111101011000001011111101000000000,22
333,110100010001011111000110110001101001011000000000,18
334,110111000111001110101111000101001011101100000000,10
335,011101111100000010110011000001001010110000000000,1
336,001010010110100101000000101111111011111100000000,16
337,000010010101000101011000100101000011000100000000,14
338,011001001100111110101011001000111101110000000000,15
339,110010110100000010011011011101001101010000000000,1
340,000110101101101111000001101101100100100100000000,12
341,100011110110011011101001011100001000111100000000,12
342,000011101000001010001100111010100001101000000000,14
343,011011101100001110101101100011111101111100000000,14
344,000010011111010111111100100110100011000000000000,19
345,011111110011110101000010100011101000111000000000,23
346,100100000001110010001100100111011100011100000000,15
347,000000000010000000100011000100100001100000000000,1
348,001101110100110101111010010010011110011000000000,20
349,000001110001100100011110011110000010111100000000,1
350,011011100000000101101111100000011101000100000000,15
351,101100001000000100110001101110010100100100000000,23
352,110010011000000001001001010110001111100000000000,10
353,011000011000110111101100011101011101101000000000,13
354,110010111101100100010010011101001101101100000000,12
355,001001001010010110000001011011111001000000000000,14
356,111100100111001110000001110101000010101100000000,13
357,101000101001000000110010100010010010110000000000,20
358,110111110101000110001110001001001000000100000000,16
359,011001100110011000000000000000001111111100000000,11
360,101110111111100001000011000001110101001000000000,17
361,010000011111010110110100010110100101000000000000,20
362,001010111011100010010011100100111001011000000000,13
363,110001000001010111010001100001001101010000000000,19
364,101110010000111010110111001011100111000100000000,14
365,001010100010001000001000100000001000101000000000,16
366,110110111011101101100000011000001001010100000000,14
367,000001111010001110100100011110010010001100000000,19
368,101011000101011011111010011000110011001100000000,12
369,110100000100110110011101110110011000011000000000,14
370,011000001010111111001111011001011100000000000000,10
371,110110010011010011101101010001111011110100000000,22
372,010010000111001100111011110001000110101100000000,19
373,001110110101111101100100100010101101000000000000,13
374,111010101110001000001000010011000100011000000000,13
375,100011011000000000001101010110001010100000000000,12
376,110000101011010001110110111011111110010100000010,1
377,101111001110000001011100011111100111010000000000,14
378,000101100010111100111000011011010110101000000000,1
379,001101011101000011100101011011011100100000000000,15
380,111111101001111001100000000101110101110100000000,1
381,100000001001101100011011100000101000110100000000,14
382,011000000000001001100010011000101100001000000000,15
383,100111111101111101000000011000101100100000000000,10
384,011101000110011000010010001100001001111100000000,13
385,000000111011000110110010001110100011010100000000,13
386,010010110100101100000000111111110101010100000000,9
387,010101110100111000011001001010100010010100000000,14
388,100111101011100100100111011100101101011100000000,10
389,100010101001011000011100001011111000111100000000,9
390,001011011000110010100001111101001010101100000000,15
391,001101010110011101010010011000011100111000000000,12
392,101001000110101111001111111011010001110100000000,14
393,001011011101000011111101111111011010100000000000,14
394,100000001100001101000011100011111000111100000000,15
395,001001100000010000100010110001001001000100000000,1
396,010110010001010101001100110001000011010000000000,12
397,111000111100010100100110110110010111110000000000,15
398,000101000101010101000001010100000101000000000000,7
399,000000010111110101111100000110100001101000000000,12
400,111011101000101001100100000000100101100000000000,8
401,110110110101110110000110011010001001001000000000,19
402,101011010010010010001001011101100010100100000000,15
403,011110100001011001101100110101111000011100000000,7
404,011110000111000000001000111101111010100000000000,14
405,001100110110110101011110000010111111111000000000,14
406,101101101101011101100001110110100111101000000000,12
407,011101010110100000011101001011101000111000000000,11
408,100011111001000100011110011110001000110100000000,11
409,111010111011100101010010010100100101011100000000,14
410,111010000001000011111000011000010110010000000000,20
411,000111011110011111111010110010010110011000000000,11
412,001000111100101011101001000101101011110000000000,9
413,111100100000100111111011110110010010001100000000,16
414,011111110110001110011100100001011000111100000000,1
415,011010001001001011111010111010111110111000000000,10
416,000110010111001101101010100001000111101100000000,13
417,111011110110001110001100000101010100111100000000,14
418,100110011100111001010111000010101111110100000000,1
419,110111100110011110111001001100011001111000000000,14
420,010101101011010111100011001111100011010000000000,17
421,001011010101010101111000111100001010000000000000,12
422,000000101011110110111111001001100010011000000000,17
423,111110000010100011010000011110100010101000000000,11
424,000010010100100101000000100111010011011100000000,12
425,001111001110100011010100111101101111011000000000,9
426,001111100101101001100100110111111101000000000000,19
427,100100000110000011110000100101101100110000000000,15
428,011001101011110011011010000001111111011100000000,17
429,101110000000101110110011001110110110000100000000,21
430,110110110000101111010000011010111001000100000000,18
431,011100010011101101001010011010001001110100000000,11
432,100111001010101100110111010100011111000100000000,25
433,001001101111000111110111011011100011000100000000,1
434,001001011000011110100010011111111000101000000000,13
435,001111111100010111111000110010111100111000000000,1
436,100000111011010000110111101111111011010100000000,11
437,111011111000101101100100000100110100100100000000,17
438,101111010101011011101011011000110110001100000000,14
439,011011101001101011110100100000111101110000000000,17
440,101011001000100100100101011000010011101100000000,14
441,111100111110101100011000110001010011010100000000,10
442,100111011001011000001011010011111110111100000000,18
