,list_key,list_value
269,101101001010100000011100000000000000000000000000,2
270,100011001010101000100110000000000000000000000000,1
271,010111001101001110001111000000000000000000000000,1
272,011000100101000000110010000000000000000000000000,1
273,011111100010111001010000000000000000000000000000,3
274,101000011000000000100001000000000000000000000000,3
275,101101000001110110101001000000000000000000000000,4
276,000000010001010100010100000000000000000000000000,2
277,101101111011110100001010000000000000000000000000,3
278,110101000010001111110111000000000000000000000000,2
279,100010111000101000000001000000000000000000000000,1
280,000101111111010111100010000000000000000000000000,3
281,111111111111000100001110000000000000000000000000,3
282,101000110101101111111000000000000000000000000000,1
283,100010001100101001000010000000000000000000000000,3
284,110011010010101111100110000000000000000000000000,2
285,111011100011000011011110000000000000000000000000,2
286,100010110111101011110001000000000000000000000000,3
287,001011101101110111110011000000000000000000000000,2
288,101101100111101011001100000000000000000000000000,2
289,111010100100100110100011000000000000000000000000,2
290,110100010011110011101101000000000000000000000000,2
291,101100100100100111111011000000000000000000000000,4
292,001010111010011110001100000000000000000000000000,1
293,000110100110001101111001000000000000000000000000,1
294,101001110001011110110000000000000000000000000000,8
295,101010111110110001000111000000000000000000000000,2
296,000111110001100000000111000000000000000000000000,2
297,001110011011001110001010000000000000000000000000,2
298,110110000101001110001011000000000000000000000000,2
299,111011001010101001000110000000000000000000000000,4
300,100010010101110011010101000010000000001000000000,1
301,001111111100001111111100000000000000000000000000,2
302,001011111101111011110001000000000000000000000000,2
303,001101001110011011000010000000000000000000000000,1
304,000101111101011111000000100000000000000000000000,1
305,100110010110111011110111000000000000000000000000,3
306,111100000100000110110001000000000000000000000000,2
307,111110010111111100000110000000000000000000000000,1
308,000110010101001001001011000000000000000000000000,3
309,111100010000110011111101000000000000000000000000,4
310,001111011010110010010001000000000000000000000000,2
311,001001001001001010110110000000000000000000000000,4
312,110001010011111011111011000000000000000000000000,3
313,111000101010011101000101000000000000000000000000,2
314,011011011100001110101110000000000000000000000000,1
315,010010111010110011100111000000000000000000000000,3
316,001011000111110101010001000000000000000000000000,1
317,010110111110011010101101000000000000000000000000,1
318,100000000111110011111100000000000000000000000000,4
319,010000101100101010001000000000100000000000000000,1
320,111101110010101111011100000000000000000000000000,2
321,100100011101111001001111000000000000000000000000,4
322,010110111011100011100011000000000000000000000000,1
323,101101101110001001010100000000000000000000000000,3
324,111000000111001010010010000000000000000000000000,4
325,010010110100010100001110000000000000000000000000,2
326,001111000100101001110110000000000000000000000000,1
327,110100101111101100101001000000000000000000000000,1
328,011100000000111001111110000000000000000000000000,1
329,111001110010111111001000000000000000000000000000,1
330,111100001100110100111101000000000000000000000000,2
331,011011110101110100110010000000000000000000000000,2
332,011001110100010100100010000000000000000000000000,2
333,010010101111100110110011000000000000000000000000,1
334,000100001010100110111001000000000000000000000000,2
335,001111101110001111011101000000000000000000000000,1
336,101101101110111101011001000000000000000000000000,3
337,100010001100010101001101000000000000000000000000,2
338,101110101010000000011010000000000000000000000000,2
