n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,3,0.0005,m2,1052400000,0.9804001139527726,8.018847733320638e-06,0.000132949850911,0.0,1056,0.0,0.0,0.9549093958333332,1.2579738696098711e-05,0.0002085679189538,1,1,40,40,32,0.991333226010101,3.292216657016199e-06,1004947816,0.0,0,27361777,0,0.0,1243.1087059876882,"['z', 'x', 'x', 'x']"
4,x,3,0.0005,normal,770000000,0.9503687131016044,2.2173030957271044e-05,0.0003093996306525,0.0,748,0.0,0.0,0.9503687131016044,2.2173030957271044e-05,0.0003093996306525,1,1,48,48,48,1.0,0.0,731783807,0.0,0,0,0,40.80304932920262,43510.401318905046,"['z', 'x', 'x', 'x']"
4,x,3,0.001,m1,919900000,0.921720326342711,2.7758558461556128e-05,0.0003960447075367,2.774236398499114e-09,782,2.71352507776186e-09,3.8715167695193077e-08,0.9217203237851662,2.775848099870753e-05,0.000396043602337,1,1,40,40,32,1.0,0.0,847895644,0.0,4,0,0,4.640975493006408,7005.236753258756,"['z', 'x', 'x', 'x']"
4,x,3,0.001,m2,1052400000,0.961089258654359,1.182691431907606e-05,0.0001960863390541,0.0,1056,0.0,0.0,0.9119210852272728,1.7565158627169026e-05,0.000291224537287,1,1,40,40,32,0.9829470662878788,4.615375011561755e-06,959708049,0.0,0,53837538,0,0.0,1591.4831373090856,"['z', 'x', 'x', 'x']"
4,x,3,0.001,normal,920000000,0.9032685454661558,2.835730990473682e-05,0.0004048459873582,4.948497600467162e-09,783,3.6518079223949123e-09,5.213540314477055e-08,0.9032685409961686,2.835728419051035e-05,0.0004048456202465,1,1,48,48,48,1.0,0.0,831001296,0.0,7,0,0,75.87616891320795,59185.789989186014,"['z', 'x', 'x', 'x']"
4,x,3,0.005,m1,757900000,0.6663870412,0.0001130291797245,0.0009118103316073,6.948909540896981e-07,250,2.5823835029114376e-07,2.083217770725562e-06,0.666386578,0.0001130170470081,0.0009117124565617,1,1,40,40,32,1.0,0.0,505058098,0.0,282,0,0,27.675632807891816,14961.475035905092,"['z', 'x', 'x', 'x']"
4,x,3,0.005,m2,1052400000,0.8170946634724817,2.5966116594380355e-05,0.0004305096498612,1.373979787589213e-06,1056,6.626047381916533e-08,1.0985768041148463e-06,0.6323707930871212,2.665143586045058e-05,0.0004418720172836,1,1,40,40,32,0.924642358270202,8.181123311172783e-06,665504820,34.0,1758,237921389,0,0.0,5825.162490482209,"['z', 'x', 'x', 'x']"
4,x,3,0.005,normal,842000000,0.6030624667279412,0.0001089526545185,0.0009167822505542,1.1700140292839718e-06,272,3.32187408885325e-07,2.79519137619273e-06,0.6030617606617646,0.0001089151205276,0.0009164664207392,1,1,48,48,48,1.0,0.0,507721064,23.0,554,0,0,236.15081583801657,94001.62397153051,"['z', 'x', 'x', 'x']"
4,x,3,0.01,m1,616900000,0.4136181356677524,0.0015067317370299,0.0190486433415254,2.045929933445579e-05,614,8.618922180826406e-07,1.0896350728932852e-05,0.413609682980456,0.0015067183263794,0.0190484737992695,1,1,40,40,32,1.0,0.0,255244250,167.0,8181,0,0,69.81479557417333,26977.805136431205,"['z', 'x', 'x', 'x']"
4,x,3,0.01,m2,458400000,0.6616194045263145,5.937967864988224e-05,0.000651182557955,2.083687902029626e-05,462,5.074395421818303e-07,5.564795677555973e-06,0.4025165541125541,4.574987520082118e-05,0.0005017123944886,1,1,40,40,32,0.8694645,1.436404370148419e-05,184514598,155.0,7359,179514522,0,0.0,8029.06828956306,"['z', 'x', 'x', 'x']"
4,x,3,0.01,normal,649100000,0.3470372055379747,0.0009308377676874,0.0119392339900199,2.842695037728264e-05,632,1.1015196849156123e-06,1.4128456879756752e-05,0.3470273595727848,0.0009308565328269,0.0119394746779242,1,1,48,48,48,1.0,0.0,225598545,494.0,9805,0,0,362.9285886227153,84154.51110677519,"['z', 'x', 'x', 'x']"
4,x,4,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0,2,56,40,48,1.0,0.0,200,0.0,0,0,0,0.0,0.0540539309986342,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,m1,112900000,0.9879853711111112,7.528017791169461e-05,0.0003643726911178,5.302504073459899e-07,90,3.1412955967782066e-07,1.5204564627056665e-06,0.9879848472222222,7.52755673505765e-05,0.0003643503749835,0,2,56,40,48,1.0,0.0,111549106,0.0,51,0,0,15.352423401083795,2623.290244315096,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,normal,112900000,0.9850340533333332,6.970435789585661e-05,0.0003373844904955,2.543952421386092e-07,90,2.167587651156498e-07,1.0491603069962823e-06,0.9850338027777776,6.972445224751888e-05,0.0003374817515966,0,2,64,48,64,1.0,0.0,111210417,0.0,53,0,0,523.3268667091615,14218.602851578951,"['x', 'z', 'x', 'x']"
4,x,4,0.0005,m1,112900000,0.94156731,0.0001453773563295,0.0007036585197173,1.3957952278480834e-05,90,1.940868964524597e-06,9.39423454259735e-06,0.941554167777778,0.0001454226492449,0.0007038777474335,0,2,56,40,48,1.0,0.0,106299362,0.0,1247,0,0,44.68321815924719,3376.025878250017,"['x', 'z', 'x', 'x']"
4,x,4,0.0005,normal,112900000,0.9273999466666666,0.0001645678867471,0.0007965449262882,1.346591345438188e-05,90,1.7317591785740391e-06,8.382096984484022e-06,0.927387457777778,0.0001644271345976,0.0007958636547911,0,2,64,48,64,1.0,0.0,104699633,2.0,1238,0,0,527.3433895618655,14155.163958898702,"['x', 'z', 'x', 'x']"
4,x,4,0.001,m1,62900000,0.8866579070588236,0.0002178067849835,0.0010245302741103,6.184043646296075e-05,85,4.472543284353346e-06,2.103816920778695e-05,0.886603074117647,0.0002175249618979,0.0010232046208106,0,2,56,40,48,1.0,0.0,55772144,9.0,2901,0,0,66.91125023271888,3001.522052262313,"['x', 'z', 'x', 'x']"
4,x,4,0.001,normal,63000000,0.8601137627906976,0.0002286405734434,0.0010817986993398,5.600708955238313e-05,86,4.353260471436222e-06,2.059718205286801e-05,0.8600655889534884,0.0002284252245063,0.0010807797891936,0,2,64,48,64,1.0,0.0,54197443,2.0,2774,0,0,540.2880013687536,10607.215540281264,"['x', 'z', 'x', 'x']"
4,x,4,0.005,m1,42900000,0.5502191481927711,0.0004037595218441,0.001876747094749,0.0014889016227757,83,5.437204236597149e-05,0.0002527310614987,0.5493999698795181,0.0004070427815446,0.0018920082781289,0,2,56,40,48,1.0,0.0,23605585,214.0,33308,0,0,210.5591811342165,3609.512882382725,"['x', 'z', 'x', 'x']"
4,x,4,0.005,normal,43000000,0.4749537273809524,0.0003557331818888,0.0016634430951153,0.0015348416897656,84,5.534465640730392e-05,0.0002587970176508,0.4742247309523809,0.0003550328671304,0.0016601683549209,0,2,64,48,64,1.0,0.0,20426005,330.0,29413,0,0,494.8313205973245,7774.782464951932,"['x', 'z', 'x', 'x']"
4,x,4,0.01,m1,32900000,0.3061531792682926,0.0003314203329882,0.0015311932437846,0.0061196611731176,82,0.0001797551313208,0.0008304856860543,0.3042796426829268,0.000334629084057,0.0015460179768156,0,2,56,40,48,1.0,0.0,10075732,1008.0,62316,0,0,310.0642046011053,3424.723212493802,"['x', 'z', 'x', 'x']"
4,x,4,0.01,normal,33100000,0.2307247083333333,0.0003381218590325,0.0015810908297303,0.0064685751081956,84,0.0001859652439382,0.0008695916397734,0.2292323107142857,0.0003405700018092,0.0015925385844103,0,2,64,48,64,1.0,0.0,7638995,1724.0,49999,0,0,481.4540725499392,5365.835396295035,"['x', 'z', 'x', 'x']"
4,x,5,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,2,0,24,24,16,1.0,0.0,200,0.0,0,0,0,0.0,0.0469999850010935,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,m1,769900000,0.9955337311914324,6.352167922467551e-06,8.857806725695663e-05,0.0,747,0.0,0.0,0.9955337311914324,6.352167922467551e-06,8.857806725695663e-05,2,0,24,24,16,1.0,0.0,766460498,0.0,0,0,0,0.997900917660445,1192.0105902484,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,normal,769900000,0.9935188179384205,8.55659194028419e-06,0.0001193177487792,0.0,747,0.0,0.0,0.9935188179384205,8.55659194028419e-06,0.0001193177487792,2,0,32,32,32,1.0,0.0,764911301,0.0,0,0,0,13.108147181104869,32331.780356695726,"['z', 'z', 'x', 'x']"
4,x,5,0.0005,m1,769900000,0.9779083240963856,1.4984545418011085e-05,0.0002089526108333,0.0,747,0.0,0.0,0.9779083240963856,1.4984545418011085e-05,0.0002089526108333,2,0,24,24,16,1.0,0.0,752890083,0.0,0,0,0,1.3431222150102258,2257.3685871226853,"['z', 'z', 'x', 'x']"
4,x,5,0.0005,normal,769900000,0.9681079536813922,1.7995018139344325e-05,0.000250932271705,3.457249230449924e-09,747,3.0222772434216526e-09,4.214426951625351e-08,0.968107950334672,1.799509322668367e-05,0.0002509333187635,2,0,32,32,32,1.0,0.0,745339732,0.0,5,0,0,36.05707584694028,41651.69852472826,"['z', 'z', 'x', 'x']"
4,x,5,0.001,m1,919900000,0.9563854271099744,2.0220194855501552e-05,0.0002884912474462,8.02173636333159e-09,782,4.5066484622215645e-09,6.429852164922716e-08,0.9563854194373402,2.0220017863791192e-05,0.0002884887222203,2,0,24,24,16,1.0,0.0,879783154,0.0,12,0,0,2.1258829766884446,2877.74612549873,"['z', 'z', 'x', 'x']"
4,x,5,0.001,normal,919000000,0.9374549895140666,2.3780424226481674e-05,0.0003392867526215,1.7255429716735225e-08,782,6.584589705743861e-09,9.3945509017436e-08,0.937454973337596,2.378037022927862e-05,0.0003392859822175,2,0,32,32,32,1.0,0.0,861516517,0.0,27,0,0,57.26324455207214,54359.47460075075,"['z', 'z', 'x', 'x']"
4,x,5,0.005,m1,757900000,0.8035861592,9.052695357867934e-05,0.0007302840891453,3.103434578234513e-06,250,6.493841961321242e-07,5.238604939528106e-06,0.8035836658,9.0593011537479e-05,0.0007308169810008,2,0,24,24,16,1.0,0.0,609049033,18.0,1411,0,0,13.527002392802387,7573.845914616013,"['z', 'z', 'x', 'x']"
4,x,5,0.005,normal,758000000,0.7310028541832669,0.0001131533280822,0.0009146356424349,7.53333005383708e-06,251,9.24427630391968e-07,7.472289803033984e-06,0.7309973468127491,0.000113105683243,0.0009142505219193,2,0,32,32,32,1.0,0.0,554058654,101.0,4531,0,0,177.33351277699694,69738.51349424536,"['z', 'z', 'x', 'x']"
4,x,5,0.01,m1,592900000,0.6190300074750831,0.0015172453816153,0.0189931937484488,7.588237086568468e-05,602,1.972539841377205e-06,2.4692664639337887e-05,0.6189831390365449,0.0015174149140614,0.0189953159909251,2,0,24,24,16,1.0,0.0,366714486,1408.0,45377,0,0,23.281860786955804,15533.148124057268,"['z', 'z', 'x', 'x']"
4,x,5,0.01,m2,458000000,1.0,0.0,0.0,7.897528079078047e-05,458,7.147110812688345e-07,7.803818917780523e-06,0.6083477205240175,4.145659646796904e-05,0.0004526581163526,2,0,24,24,16,1.0,0.0,278645262,1313.0,41386,179354738,0,0.0,1939.7300162662289,"['z', 'z', 'x', 'x']"
4,x,5,0.01,normal,593100000,0.5292792749999999,0.0008032527930798,0.0100719750739894,0.0001715808226524,604,3.4615407184523557e-06,4.340420865537613e-05,0.5291885774006623,0.0008036179136449,0.0100765533154378,2,0,32,32,32,1.0,0.0,313740030,4310.0,88229,0,0,303.4024525987916,72348.58401044372,"['z', 'z', 'x', 'x']"
4,x,6,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0,2,56,40,48,1.0,0.0,200,0.0,0,0,0,0.0,0.054371202000766,"['x', 'x', 'z', 'x']"
4,x,6,0.0001,m1,112900000,0.9877730577777778,7.700541926559318e-05,0.000372723240391,1.0533902737481191e-06,90,4.976380472077032e-07,2.4086780809205165e-06,0.9877720172222224,7.698195314003382e-05,0.0003726096591594,0,2,56,40,48,1.0,0.0,111524902,0.0,89,0,0,148.04332602210343,6452.612332914388,"['x', 'x', 'z', 'x']"
4,x,6,0.0001,normal,112900000,0.9847778211111112,7.655851165840596e-05,0.0003705601088466,1.629366337971159e-06,90,6.370156955956244e-07,3.083296688814281e-06,0.9847762166666666,7.662721519618208e-05,0.0003708926491466,0,2,64,48,64,1.0,0.0,111185398,0.0,114,0,0,595.2727699070238,15659.40050264704,"['x', 'x', 'z', 'x']"
4,x,6,0.0005,m1,112900000,0.9406221344444444,0.0001390281658394,0.0006729270351553,2.4241647369945116e-05,90,2.527666584690856e-06,1.2234464652737753e-05,0.940599332222222,0.0001390473656009,0.0006730199662426,0,2,56,40,48,1.0,0.0,106193581,6.0,2144,0,0,162.57185133872554,6331.869968508778,"['x', 'x', 'z', 'x']"
4,x,6,0.0005,normal,112900000,0.92647393,0.0001600926721182,0.0007748838988715,2.2542481857370016e-05,90,2.478219884828276e-06,1.1995131702210476e-05,0.926453045,0.0001601108998511,0.0007749721251257,0,2,64,48,64,1.0,0.0,104595980,4.0,2161,0,0,597.1346607510932,15364.182868164062,"['x', 'x', 'z', 'x']"
4,x,6,0.001,m1,62900000,0.8849031799999999,0.0002376813762965,0.0011180173548145,0.0001023352151896,85,6.7063080002828885e-06,3.154546160862605e-05,0.8848126223529411,0.0002375787624764,0.0011175346748776,0,2,56,40,48,1.0,0.0,55664391,9.0,5047,0,0,202.2719522328116,5738.0533975530125,"['x', 'x', 'z', 'x']"
