n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,3,0.001,m1,919900000,0.9217258875964779,0.0,,2.358780840723366e-09,1,0.0,,0.9217258854223285,0.0,,1,1,40,40,32,1.0,0.0,847895644,0.0,4,0,0,4.640975493006408,7005.236753258756
4,x,3,0.001,m2,1052400000,0.9610896518960073,0.0,,0.0,1,0.0,,0.9119232696693272,0.0,,1,1,40,40,32,0.9829476947928544,0.0,959708049,0.0,0,53837538,0,0.0,1591.4831373090856
4,x,3,0.001,normal,920000000,0.9032622782608696,0.0,,4.211786451895016e-09,1,0.0,,0.9032622744565217,0.0,,1,1,48,48,48,1.0,0.0,831001296,0.0,7,0,0,75.87616891320795,59185.789989186014
4,x,3,0.005,m1,757900000,0.6663914738092097,0.0,,2.791758028598128e-07,1,0.0,,0.6663912877688349,0.0,,1,1,40,40,32,1.0,0.0,505058098,0.0,282,0,0,27.675632807891816,14961.475035905092
4,x,3,0.005,m2,1052400000,0.8170930593044143,0.0,,5.10890364400366e-08,1,0.0,,0.6323686678069175,0.0,,1,1,40,40,32,0.9246416479792221,0.0,665504820,-845.0,1758,237921389,0,0.0,5825.162490482209
4,x,3,0.005,normal,842000000,0.6029941377672209,0.0,,4.5300464429815346e-08,1,0.0,,0.6029941104513065,0.0,,1,1,48,48,48,1.0,0.0,507721064,-254.0,554,0,0,236.15081583801657,94001.62397153051
4,x,3,0.01,m1,616900000,0.4137530393905009,0.0,,6.523163597221093e-07,1,0.0,,0.4137527694926244,0.0,,1,1,40,40,32,1.0,0.0,255244250,-3924.0,8181,0,0,69.81479557417333,26977.805136431205
4,x,3,0.01,m2,458400000,0.6616142200132773,0.0,,8.427517480215847e-07,1,0.0,,0.40251841732111693,0.0,,1,1,40,40,32,0.8694629712041885,0.0,184514598,-3524.0,7359,179514522,0,0.0,8029.06828956306
4,x,3,0.01,normal,649100000,0.347555915883531,0.0,,2.1919467610041545e-06,1,0.0,,0.34755515405946696,0.0,,1,1,48,48,48,1.0,0.0,225598545,-4408.0,9805,0,0,362.9285886227153,84154.51110677519
4,x,4,0.0,m2,200,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,40,48,1.0,0.0,200,0.0,0,0,0,0.0,0.0540539309986342
