n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,z,12,0.1,normal,1350000000,0.9855637044444445,0.00024915223935781253,0.0014769833781169777,1.657373755574948e-07,135,1.803668167862914e-08,1.0692209351353333e-07,0.9855635411111111,0.00024915348984159866,0.0014769907910295464,2,0,32,16,32,1.0,0.0,1330511001,8.0,425,0,0,0,14886.044714099728
4,z,12,0.3,m1,1350000000,0.9472846866666667,0.0014995335335202529,0.008889288371025766,7.057059145590162e-07,135,1.0532672636090085e-07,6.243805976117062e-07,0.947284017037037,0.0014995122701975414,0.00888916232128891,2,0,24,8,16,1.0,0.0,1278834327,24.0,1760,0,0,0,1613.9131561163813
4,z,12,0.3,normal,1350000000,0.9572474466666666,0.0007202975534516757,0.004269949635967786,2.2399168633604263e-06,135,1.0365077741645208e-07,6.144455123806694e-07,0.9572453014814813,0.0007202568448424341,0.004269708313877521,2,0,32,16,32,1.0,0.0,1292284053,117.0,5558,0,0,0,31766.066012957133
4,z,12,0.5,m1,1350000000,0.9127155111111112,0.002324279699946552,0.013778413117072908,3.0250161480985565e-06,135,3.6349375653708427e-07,2.1548039778344397e-06,0.9127127437037037,0.0023242010988180437,0.01377794716677438,2,0,24,8,16,1.0,0.0,1232165940,160.0,7152,0,0,0,2903.9480699477717
4,z,12,0.5,normal,1350000000,0.9308251881481482,0.0011192568695192202,0.006634994718024778,8.620634482713572e-06,135,2.4908955191638766e-07,1.4766117647241383e-06,0.9308171622222222,0.0011192085308693075,0.0066347081647807615,2,0,32,16,32,1.0,0.0,1256614004,543.0,20584,0,0,0,43745.90888456628
4,z,12,0.8,m1,1350000000,0.8673976755555556,0.0033034096362650357,0.01958273036778916,1.2747252935369184e-05,135,1.3564879300652068e-06,8.041308922153955e-06,0.8673866,0.003303219702090829,0.019581604431217356,2,0,24,8,16,1.0,0.0,1170986862,700.0,28504,0,0,0,4499.794065549038
4,z,12,0.8,normal,1360000000,0.8912695955882353,0.0016808742793473729,0.010001119453221729,3.079649645907332e-05,136,1.103543528380601e-06,6.566029824341973e-06,0.8912421139705883,0.0016803207645762733,0.009997826067504005,2,0,32,16,32,1.0,0.0,1212126650,2616.0,69518,0,0,0,61304.40295063052
4,z,12,1.0,m1,1350000000,0.8381082096296296,0.004141247044895338,0.024549460465423962,2.7528959292031957e-05,135,2.8052835559473143e-06,1.6629821163632863e-05,0.838085061111111,0.004140678158322576,0.024546088085492038,2,0,24,8,16,1.0,0.0,1131446083,1791.0,58919,0,0,0,5562.908235560171
4,z,12,1.0,normal,1360000000,0.8671729522058823,0.0018939167763647082,0.011268711852880713,5.816047056976995e-05,136,2.0676943317972215e-06,1.2302679777503976e-05,0.8671224632352942,0.0018931123667609174,0.011263925655224126,2,0,32,16,32,1.0,0.0,1179355215,5244.0,126842,0,0,0,71725.95273734722
4,z,14,0.1,m1,1350000000,0.9659686570370372,0.0004423209051524823,0.0026220941316351344,1.800581796206844e-08,135,7.0143631419091015e-09,4.158139535642615e-08,0.9659686396296295,0.0004423200026179425,0.002622088781378131,1,1,40,8,32,1.0,0.0,1304057687,0.0,47,0,0,0,631.4372147032991
4,z,14,0.1,normal,1350000000,0.9651732740740742,0.0006011890005469346,0.003563869878124529,6.913907521553626e-08,135,1.4237448655552958e-08,8.440010439097926e-08,0.9651732074074074,0.0006011918923281395,0.0035638870207068472,1,1,48,16,48,1.0,0.0,1302983920,1.0,178,0,0,0,19078.508624106646
4,z,14,0.3,m1,1350000000,0.9005072274074074,0.0013895805841744036,0.008237483358245876,1.3472818631849238e-07,135,3.40671688767429e-08,2.0195139445723604e-07,0.9005071062962963,0.0013895843171385488,0.008237505487390722,1,1,40,8,32,1.0,0.0,1215684757,10.0,307,0,0,0,2988.388905543834
4,z,14,0.3,normal,1350000000,0.8990729555555556,0.0017416547042605592,0.010324591323130025,6.429959333562182e-07,135,9.42492183039228e-08,5.587127340063678e-07,0.8990723788888889,0.0017416743744238761,0.010324707928561062,1,1,48,16,48,1.0,0.0,1213748490,34.0,1489,0,0,0,42382.96163392998
4,z,14,0.5,m1,1350000000,0.8401650014814815,0.002187161681700772,0.012965572605137905,5.283388584462047e-07,135,8.539239567034435e-08,5.062091729448949e-07,0.8401645577777778,0.0021871626326051157,0.012965578242132833,1,1,40,8,32,1.0,0.0,1134222752,43.0,1112,0,0,0,6013.400269350037
