n,lstate,i,meas_type,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,x,4,"['x', 'z', 'x']",0.01,normal,1,0,10000000,9965257,206.0,37531,0,0.9965257,0.0,,0.0019037642481272686,0.0,,9.63798547700003,2.803362035999953
3,x,4,"['x', 'z', 'x']",0.05,m1,1,0,10000000,9875882,1912.0,145240,0,0.9875882,0.0,,0.007546870244095666,0.0,,1.1782270670000798,0.4777178509998521
3,x,4,"['x', 'z', 'x']",0.05,normal,1,0,10000000,9828366,1212.0,183998,0,0.9828366,0.0,,0.009483875549608145,0.0,,17.21119954599999,4.053779932999987
3,x,4,"['x', 'z', 'x']",0.1,m1,1,0,10000000,9752017,4657.0,283076,0,0.9752017,0.0,,0.014991257705969955,0.0,,0.6484264219999432,0.1266569310000704
3,x,4,"['x', 'z', 'x']",0.1,normal,1,0,10000000,9615130,3264.0,170665,0,0.961513,0.0,,0.009214279994134244,0.0,,7.816528063999954,6.522536534999972
3,x,4,"['x', 'z', 'x']",0.5,m1,1,0,10000000,8842670,29874.0,1223836,0,0.884267,0.0,,0.07257898349706593,0.0,,5.194035543999917,-1.4087710489998244
3,x,4,"['x', 'z', 'x']",0.5,normal,1,0,10000000,8454696,32305.0,1482900,0,0.8454696,0.0,,0.09151777899524714,0.0,,43.108117585999935,-13.128582437999968
3,x,4,"['x', 'z', 'x']",1.0,m1,1,0,10000000,7829405,75628.0,2034572,0,0.7829405,0.0,,0.13959093954138277,0.0,,6.476582602000008,-3.6085323689999314
3,x,4,"['x', 'z', 'x']",1.0,normal,1,0,10000000,6939003,54230.0,1263347,0,0.6939003,0.0,,0.09884755778315703,0.0,,47.717731448,2.8842455689999724
3,x,5,"['z', 'z', 'x']",0.01,m1,1,0,10000000,10000000,0.0,18,0,1.0,0.0,,9e-07,0.0,,0.0065068789999713,0.0027391999999508
3,x,5,"['z', 'z', 'x']",0.01,normal,1,0,10000000,10000000,0.0,32,0,1.0,0.0,,1.6e-06,0.0,,0.0962529800001448,0.0527519159998064
3,x,5,"['z', 'z', 'x']",0.05,m1,1,0,10000000,10000000,2.0,373,0,1.0,0.0,,1.885e-05,0.0,,0.0113202909999472,0.0054657690000112
3,x,5,"['z', 'z', 'x']",0.05,normal,1,0,10000000,10000000,2.0,911,0,1.0,0.0,,4.575e-05,0.0,,0.1339170520000152,0.0606540949997906
3,x,5,"['z', 'z', 'x']",0.1,m1,1,0,10000000,10000000,6.0,1320,0,1.0,0.0,,6.66e-05,0.0,,0.0353690749999486,0.0132871360000308
3,x,5,"['z', 'z', 'x']",0.1,normal,1,0,10000000,10000000,20.0,3343,0,1.0,0.0,,0.00016915,0.0,,0.2127528830000074,0.62649478000003
3,x,5,"['z', 'z', 'x']",0.5,m1,1,0,10000000,10000000,502.0,31903,0,1.0,0.0,,0.00164535,0.0,,0.0166430289998515,0.0042392810003093
3,x,5,"['z', 'z', 'x']",0.5,normal,1,0,10000000,10000000,1659.0,74238,0,1.0,0.0,,0.0038778,0.0,,0.7256167450000248,0.3256085689999963
3,x,5,"['z', 'z', 'x']",1.0,m1,1,0,10000000,10000000,3608.0,119580,0,1.0,0.0,,0.0063398,0.0,,0.0175832789999503,0.0071782530000064
3,x,5,"['z', 'z', 'x']",1.0,normal,1,0,10000000,10000000,12112.0,262803,0,1.0,0.0,,0.01435135,0.0,,0.9182567320000316,0.6262205419999418
3,x,6,"['x', 'x', 'z']",0.01,m1,1,0,10000000,9974796,415.0,30830,0,0.9974796,0.0,,0.0015869998744836487,0.0,,2.4234527920000346,1.297417217999964
3,x,6,"['x', 'x', 'z']",0.01,normal,1,0,10000000,9964525,214.0,30008,0,0.9964525,0.0,,0.0015272178051638186,0.0,,16.054773366000063,3.889111920999994
3,x,6,"['x', 'x', 'z']",0.05,m1,1,0,10000000,9874430,1939.0,149740,0,0.987443,0.0,,0.00777857557347614,0.0,,4.527942811000003,0.6363081289998718
3,x,6,"['x', 'x', 'z']",0.05,normal,1,0,10000000,9826044,1162.0,147279,0,0.9826044,0.0,,0.007612575315152263,0.0,,38.98656758800007,-3.816795809000041
3,x,6,"['x', 'x', 'z']",0.1,m1,1,0,10000000,9772114,4496.0,295109,0,0.9772114,0.0,,0.015559632235154032,0.0,,5.658003242999939,0.1600765800001227
3,x,6,"['x', 'x', 'z']",0.1,normal,1,0,10000000,9618420,5338.0,247543,0,0.961842,0.0,,0.01342315057982496,0.0,,51.42622424299998,-14.998782824000044
3,x,6,"['x', 'x', 'z']",0.5,m1,1,0,10000000,8826538,27428.0,1245007,0,0.8826538,0.0,,0.07363379617240644,0.0,,2.88552095,1.2824393989999407
3,x,6,"['x', 'x', 'z']",0.5,normal,1,0,10000000,8408714,31064.0,1173701,0,0.8408714,0.0,,0.07348501804199786,0.0,,65.18601316299987,-30.52431595899975
3,x,6,"['x', 'x', 'z']",1.0,m1,1,0,10000000,7992253,66962.0,2085237,0,0.7992253,0.0,,0.13883200394181716,0.0,,8.38063674,-4.756638052999961
3,x,6,"['x', 'x', 'z']",1.0,normal,1,0,10000000,6862371,84560.0,1587380,0,0.6862371,0.0,,0.12798054783106305,0.0,,99.65185854900004,-60.15795176000006
3,x,7,"['z', 'x', 'z']",0.01,m1,1,0,10000000,9986333,7.0,14976,0,0.9986333,0.0,,0.0007505257435336875,0.0,,0.3650079989999995,0.0549835150000035
3,x,7,"['z', 'x', 'z']",0.01,normal,1,0,10000000,9990408,30.0,28244,0,0.9990408,0.0,,0.0014165587631656284,0.0,,1.841673205999996,0.5618396889999531
3,x,7,"['z', 'x', 'z']",0.05,m1,1,0,10000000,9932525,118.0,72711,0,0.9932525,0.0,,0.0036721276815311313,0.0,,0.1536868959999537,0.0265428410000367
3,x,7,"['z', 'x', 'z']",0.05,normal,1,0,10000000,9952465,494.0,137649,0,0.9952465,0.0,,0.006964957927508411,0.0,,7.509621522000089,1.2811877099998128
3,x,7,"['z', 'x', 'z']",0.1,m1,1,0,10000000,9882641,1086.0,205349,0,0.9882641,0.0,,0.010499268363588235,0.0,,0.5755138209999586,0.0742772720001312
3,x,7,"['z', 'x', 'z']",0.1,normal,1,0,10000000,9905844,1909.0,271028,0,0.9905844,0.0,,0.013872921883284251,0.0,,8.800454575000003,-0.3654445759999589
3,x,7,"['z', 'x', 'z']",0.5,m1,1,0,10000000,9348359,10205.0,651128,0,0.9348359,0.0,,0.03591742679116196,0.0,,0.8058654639999077,0.0933168880001176
3,x,7,"['z', 'x', 'z']",0.5,normal,1,0,10000000,9538727,41928.0,1182066,0,0.9538727,0.0,,0.06635696775890536,0.0,,14.020611068000107,1.5402865469998233
3,x,7,"['z', 'x', 'z']",1.0,m1,1,0,10000000,8900989,86322.0,1580379,0,0.8900989,0.0,,0.09847349547336819,0.0,,0.2770653259999562,0.0763099819999979
3,x,7,"['z', 'x', 'z']",1.0,normal,1,0,10000000,9105048,142790.0,1999827,0,0.9105048,0.0,,0.12550219394779688,0.0,,11.971465996999996,-2.554017148000071
3,z,2,"['z', 'x', 'x']",0.01,m1,1,0,10000000,9986939,5.0,16150,0,0.9986939,0.0,,0.0008090567089675826,0.0,,0.3713679429999956,0.1536092329999974
3,z,2,"['z', 'x', 'x']",0.01,normal,1,0,10000000,9984004,13.0,21606,0,0.9984004,0.0,,0.0010833328993057295,0.0,,1.9873235529998965,0.5600932049999301
3,z,2,"['z', 'x', 'x']",0.05,m1,1,0,10000000,9934726,140.0,79528,0,0.9934726,0.0,,0.00401661807280845,0.0,,0.4507807509999111,0.0887904610001442
3,z,2,"['z', 'x', 'x']",0.05,normal,1,0,10000000,9920416,309.0,106538,0,0.9920416,0.0,,0.005400781580127285,0.0,,2.640595377999944,0.5597333359999084
3,z,2,"['z', 'x', 'x']",0.1,m1,1,0,10000000,9893945,1254.0,226985,0,0.9893945,0.0,,0.011597648865038163,0.0,,0.2001294030000053,0.0523418440000114
3,z,2,"['z', 'x', 'x']",0.1,normal,1,0,10000000,9842739,1220.0,208823,0,0.9842739,0.0,,0.010731921267037559,0.0,,8.70479639000007,1.4564538449999418
3,z,2,"['z', 'x', 'x']",0.5,m1,1,0,10000000,9371845,12914.0,708507,0,0.9371845,0.0,,0.039177717941344524,0.0,,0.2877874999999221,0.2717357359999823
3,z,2,"['z', 'x', 'x']",0.5,normal,1,0,10000000,9242978,25268.0,914659,0,0.9242978,0.0,,0.052212338923667244,0.0,,5.0482690869998805,0.7598047030000998
3,z,2,"['z', 'x', 'x']",1.0,m1,1,0,10000000,9003077,102847.0,1732122,0,0.9003077,0.0,,0.10761965048171863,0.0,,0.8170371759999853,0.3446937670000807
3,z,2,"['z', 'x', 'x']",1.0,normal,1,0,10000000,8564688,85688.0,1548229,0,0.8564688,0.0,,0.10038923776324368,0.0,,5.879382033999946,0.8593392000000222
3,z,3,"['x', 'z', 'x']",0.01,m1,1,0,10000000,9974824,424.0,30266,0,0.9974824,0.0,,0.0015596265157159666,0.0,,2.6672193570000218,-1.360077098000147
3,z,3,"['x', 'z', 'x']",0.01,normal,1,0,10000000,9965236,510.0,38466,0,0.9965236,0.0,,0.001981187399876932,0.0,,5.783265724999865,1.623445036000021
3,z,3,"['x', 'z', 'x']",0.05,m1,1,0,10000000,9875870,2356.0,148583,0,0.987587,0.0,,0.0077610883901873965,0.0,,5.237070519000099,-3.1139937729999474
3,z,3,"['x', 'z', 'x']",0.05,normal,1,0,10000000,9828767,2852.0,186858,0,0.9828767,0.0,,0.00979583705667252,0.0,,33.53210178800009,-4.842757995000056
3,z,3,"['x', 'z', 'x']",0.1,m1,1,0,10000000,9751701,4534.0,290925,0,0.9751701,0.0,,0.015381572917381285,0.0,,2.035417456999994,0.7227181199999677
3,z,3,"['x', 'z', 'x']",0.1,normal,1,0,10000000,9614931,4814.0,170753,0,0.9614931,0.0,,0.009380254522887372,0.0,,37.24654861199997,-12.378526456999907
3,z,3,"['x', 'z', 'x']",0.5,m1,1,0,10000000,8843529,29490.0,1236343,0,0.8843529,0.0,,0.07323563930191217,0.0,,7.10533588699991,-4.469724107999809
3,z,3,"['x', 'z', 'x']",0.5,normal,1,0,10000000,8453620,53258.0,1457731,0,0.845362,0.0,,0.09251935857064784,0.0,,64.90135859999987,-38.97410272199977
3,z,3,"['x', 'z', 'x']",1.0,m1,1,0,10000000,7830313,64240.0,2025915,0,0.7830313,0.0,,0.13756761702884673,0.0,,10.254314715000078,-7.412665969000045
3,z,3,"['x', 'z', 'x']",1.0,normal,1,0,10000000,6939140,62948.0,1143408,0,0.693914,0.0,,0.09145974861438161,0.0,,46.98821670400002,9.58409029500001
3,z,4,"['z', 'z', 'x']",0.01,m1,1,0,10000000,10000000,0.0,12,0,1.0,0.0,,6e-07,0.0,,0.0093579080000836,0.0040502429999378
3,z,4,"['z', 'z', 'x']",0.01,normal,1,0,10000000,10000000,0.0,9,0,1.0,0.0,,4.5e-07,0.0,,0.1251717159998406,0.0575828590001492
3,z,4,"['z', 'z', 'x']",0.05,m1,1,0,10000000,10000000,0.0,322,0,1.0,0.0,,1.61e-05,0.0,,0.0503026630001386,0.0166331799998715
3,z,4,"['z', 'z', 'x']",0.05,normal,1,0,10000000,10000000,0.0,234,0,1.0,0.0,,1.17e-05,0.0,,0.1448155830000814,0.0616890559999774
3,z,4,"['z', 'z', 'x']",0.1,m1,1,0,10000000,10000000,2.0,1368,0,1.0,0.0,,6.86e-05,0.0,,0.0126259539999864,0.0082822929999792
3,z,4,"['z', 'z', 'x']",0.1,normal,1,0,10000000,10000000,2.0,943,0,1.0,0.0,,4.735e-05,0.0,,0.5543485949999649,0.1885280049999664
3,z,4,"['z', 'z', 'x']",0.5,m1,1,0,10000000,10000000,453.0,31296,0,1.0,0.0,,0.0016101,0.0,,0.0689392140000109,0.0226698320000195
3,z,4,"['z', 'z', 'x']",0.5,normal,1,0,10000000,10000000,253.0,22622,0,1.0,0.0,,0.0011564,0.0,,0.2892560170000706,0.1186510979998729
3,z,4,"['z', 'z', 'x']",1.0,m1,1,0,10000000,10000000,3520.0,116937,0,1.0,0.0,,0.00619885,0.0,,0.051371579999909,0.0159472510000568
3,z,4,"['z', 'z', 'x']",1.0,normal,1,0,10000000,10000000,2045.0,84538,0,1.0,0.0,,0.0044314,0.0,,0.3578825620000998,0.1563213089998498
3,z,5,"['x', 'x', 'z']",0.01,m1,1,0,10000000,9974792,443.0,29244,0,0.9974792,0.0,,0.0015103071823452559,0.0,,1.200581222999972,0.2533698869999625
3,z,5,"['x', 'x', 'z']",0.01,normal,1,0,10000000,9964583,274.0,28595,0,0.9964583,0.0,,0.0014623291310835586,0.0,,3.238199902999895,0.8711689970002681
3,z,5,"['x', 'x', 'z']",0.05,m1,1,0,10000000,9874530,2178.0,143777,0,0.987453,0.0,,0.007500762061586729,0.0,,1.6870029869999144,0.3144403160001729
3,z,5,"['x', 'x', 'z']",0.05,normal,1,0,10000000,9825870,1625.0,139612,0,0.982587,0.0,,0.007269687060789528,0.0,,17.188210832999857,2.397194941999942
3,z,5,"['x', 'x', 'z']",0.1,m1,1,0,10000000,9771990,4733.0,284068,0,0.977199,0.0,,0.015019151677396314,0.0,,0.8397423019999906,0.2477643360000456
3,z,5,"['x', 'x', 'z']",0.1,normal,1,0,10000000,9619109,1773.0,240086,0,0.9619109,0.0,,0.01266395879285701,0.0,,21.491524251999977,3.305809176000025
3,z,5,"['x', 'x', 'z']",0.5,m1,1,0,10000000,8826705,31503.0,1212762,0,0.8826705,0.0,,0.07226751092281888,0.0,,2.5162463359999947,2.1358330079999632
3,z,5,"['x', 'x', 'z']",0.5,normal,1,0,10000000,8408375,22664.0,1125168,0,0.8408375,0.0,,0.06960298511900337,0.0,,25.843486956000103,2.770832452999912
3,z,5,"['x', 'x', 'z']",1.0,m1,1,0,10000000,7990812,76439.0,2071408,0,0.7990812,0.0,,0.13917772061212302,0.0,,6.696941369000001,-3.420956859999933
3,z,5,"['x', 'x', 'z']",1.0,normal,1,0,10000000,6863211,29528.0,1564577,0,0.6863211,0.0,,0.11828523121320327,0.0,,56.09284996700001,-19.37867542200001
3,z,6,"['z', 'x', 'z']",0.01,m1,1,0,10000000,9986412,0.0,5,0,0.9986412,0.0,,2.503401622124142e-07,0.0,,0.03674025600003,0.0030576880001262
3,z,6,"['z', 'x', 'z']",0.01,normal,1,0,10000000,9990492,0.0,403,0,0.9990492,0.0,,2.0169176853352166e-05,0.0,,1.3035659550000671,0.2460809110000354
3,z,6,"['z', 'x', 'z']",0.05,m1,1,0,10000000,9931916,0.0,151,0,0.9931916,0.0,,7.601755794148883e-06,0.0,,0.0711575580000953,0.0122333489998709
3,z,6,"['z', 'x', 'z']",0.05,normal,1,0,10000000,9952204,7.0,2424,0,0.9952204,0.0,,0.00012248543136776538,0.0,,1.61164407199999,0.300062386000036
3,z,6,"['z', 'x', 'z']",0.1,m1,1,0,10000000,9868206,3.0,1080,0,0.9868206,0.0,,5.502519910913899e-05,0.0,,0.3762001140000848,0.0524396249999199
3,z,6,"['z', 'x', 'z']",0.1,normal,1,0,10000000,9905435,30.0,5249,0,0.9905435,0.0,,0.0002679841925165326,0.0,,2.214990157999978,0.4018504480000047
3,z,6,"['z', 'x', 'z']",0.5,m1,1,0,10000000,9346563,90.0,13384,0,0.9346563,0.0,,0.000725614324752318,0.0,,0.7096997690000535,0.0612611519998154
3,z,6,"['z', 'x', 'z']",0.5,normal,1,0,10000000,9537615,1370.0,48445,0,0.9537615,0.0,,0.0026833228223198356,0.0,,6.739048065999896,0.7561029520002194
3,z,6,"['z', 'x', 'z']",1.0,m1,1,0,10000000,8776800,1873.0,92906,0,0.87768,0.0,,0.005506107009388387,0.0,,1.0067508299999872,0.1637047940000684
3,z,6,"['z', 'x', 'z']",1.0,normal,1,0,10000000,9103981,6252.0,143645,0,0.9103981,0.0,,0.008575863679856098,0.0,,10.230997255000034,1.1328825239999103
3,z,7,"['x', 'z', 'z']",0.01,m1,1,0,10000000,9974581,0.0,9,0,0.9974581,0.0,,4.5114676997459843e-07,0.0,,0.1441386609999426,0.0139740179999989
3,z,7,"['x', 'z', 'z']",0.01,normal,1,0,10000000,9977218,0.0,15,0,0.9977218,0.0,,7.517125515349069e-07,0.0,,0.5874129290000383,0.0932709050000539
3,z,7,"['x', 'z', 'z']",0.05,m1,1,0,10000000,9874340,1.0,172,0,0.987434,0.0,,8.810715450349086e-06,0.0,,0.4251640550000957,0.01550773200006
3,z,7,"['x', 'z', 'z']",0.05,normal,1,0,10000000,9886438,2.0,361,0,0.9886438,0.0,,1.8459631264566672e-05,0.0,,0.9089148009998098,0.087828724000019
3,z,7,"['x', 'z', 'z']",0.1,m1,1,0,10000000,9773830,2.0,1169,0,0.977383,0.0,,6.000718244536686e-05,0.0,,0.2607778289999487,0.3884801809999771
3,z,7,"['x', 'z', 'z']",0.1,normal,1,0,10000000,9672797,2.0,692,0,0.9672797,0.0,,3.5977184262214954e-05,0.0,,3.769224353000027,0.3186410309999701
3,z,7,"['x', 'z', 'z']",0.5,m1,1,0,10000000,8815704,126.0,15385,0,0.8815704,0.0,,0.0008868832256618416,0.0,,1.0915534509999816,1.0562485880000168
3,z,7,"['x', 'z', 'z']",0.5,normal,1,0,10000000,8916220,370.0,31280,0,0.891622,0.0,,0.0017956039667033788,0.0,,15.409779785999945,-6.239789590999862
3,z,7,"['x', 'z', 'z']",1.0,m1,1,0,10000000,7955872,1398.0,96917,0,0.7955872,0.0,,0.006266629226815112,0.0,,3.7055148179999833,-2.003586465000012
3,z,7,"['x', 'z', 'z']",1.0,normal,1,0,10000000,7158276,880.0,46641,0,0.7158276,0.0,,0.003380772130049191,0.0,,29.79525973,-1.6166004909999856
4,x,2,"['x', 'x', 'x', 'x']",0.01,m1,1,0,10000000,9899448,0.0,0,0,0.9899448,0.0,,0.0,0.0,,3.703831214006641,2.050244494981598
4,x,2,"['x', 'x', 'x', 'x']",0.01,normal,1,0,10000000,9865806,0.0,0,0,0.9865806,0.0,,0.0,0.0,,110.17508015099884,15.970501089999743
4,x,2,"['x', 'x', 'x', 'x']",0.05,m1,197,0,206000000,194495409,0.0,0,0,0.9438532949238578,0.0004956427206450321,0.006956677093706206,0.0,0.0,0.0,17.679008738006814,827.835229560762
4,x,2,"['x', 'x', 'x', 'x']",0.05,normal,197,0,206000000,192036570,0.0,0,0,0.9321004172588833,0.0005761905416001682,0.008087219635029739,0.0,0.0,0.0,160.3532712410015,6760.214963488877
4,x,2,"['x', 'x', 'x', 'x']",0.1,m1,197,0,206000000,183641188,0.0,5,0,0.8908817182741118,0.0009334708977567683,0.013101888399802865,1.1785475788600292e-08,5.712689175812637e-09,8.018141350107912e-08,16.807423279999057,1072.9854369029345
4,x,2,"['x', 'x', 'x', 'x']",0.1,normal,197,0,206000000,179022693,0.0,6,0,0.8688406583756346,0.001057900859552216,0.014848346138285552,1.7417154633779213e-08,7.019864459481846e-09,9.852849290845151e-08,628.5471541219995,8343.307230742306
4,x,2,"['x', 'x', 'x', 'x']",0.3,m1,196,0,196000000,138572397,0.0,216,0,0.7070020255102041,0.002236102575550804,0.03130543605771125,7.658593325185745e-07,5.886694592091274e-08,8.241372428927784e-07,0.0,2563.2350536915474
4,x,2,"['x', 'x', 'x', 'x']",0.3,normal,196,0,196000000,128644824,5.0,218,0,0.6563511428571429,0.002416695389515156,0.03383373545321219,8.781819286051915e-07,9.016410364771385e-08,1.262297451067994e-06,0.0,13666.343218398746
4,x,2,"['x', 'x', 'x', 'x']",0.5,m1,197,0,206000000,116014638,18.0,1393,0,0.5613617299492386,0.0029601169653655254,0.041547221476087026,6.091375939083405e-06,3.218180728243147e-07,4.5169318993407585e-06,140.69924864699715,4347.001332800224
4,x,2,"['x', 'x', 'x', 'x']",0.5,normal,197,0,206000000,102163817,13.0,1344,0,0.49540009898477155,0.003032590733495338,0.04256443928569614,6.57606069838501e-06,4.0408945600131e-07,5.671665789248572e-06,852.3956412490006,17081.153438207377
4,x,2,"['x', 'x', 'x', 'x']",0.8,m1,126,0,126000000,50308553,101.0,3790,0,0.3992742301587302,0.003983753801855536,0.044717525519404625,3.874307115701624e-05,2.053766862532423e-06,2.3053475855717946e-05,0.0,4558.202095524874
4,x,2,"['x', 'x', 'x', 'x']",0.8,normal,126,0,126000000,41385810,65.0,3407,0,0.3284588095238095,0.003958118744414366,0.04442977271329923,4.2306190234688216e-05,2.728526728466556e-06,3.062763656573108e-05,0.0,13084.465711529832
4,x,2,"['x', 'x', 'x', 'x']",1.0,m1,61,0,70000000,22393273,116.0,3866,0,0.3136521901639344,0.006068331788479387,0.04739518638426518,8.951180749144951e-05,5.949847636161891e-06,4.646979557202738e-05,774.3734661209965,2858.5067372546546
4,x,2,"['x', 'x', 'x', 'x']",1.0,normal,61,0,70000000,17669628,123.0,3773,0,0.25176080655737704,0.005193025253789076,0.0405588238053812,0.00011476088090027076,1.2789550611450273e-05,9.988958351807124e-05,1859.3754461380004,6856.83618414106
4,x,3,"['z', 'x', 'x', 'x']",0.01,m1,1,0,10000000,9927514,0.0,0,0,0.9927514,0.0,,0.0,0.0,,5.012226909995661,-0.6167639199993573
4,x,3,"['z', 'x', 'x', 'x']",0.01,normal,1,0,10000000,9894317,0.0,0,0,0.9894317,0.0,,0.0,0.0,,107.09674333099974,19.81798218300537
4,x,3,"['z', 'x', 'x', 'x']",0.05,m1,197,0,206000000,199498250,0.0,4,0,0.9686310817258883,0.000308959906289728,0.004336458931873773,1.046249289241117e-08,5.19108801209489e-09,7.286039229660453e-08,5.079043341000215,648.5774090251798
4,x,3,"['z', 'x', 'x', 'x']",0.05,normal,197,0,206000000,197694885,0.0,6,0,0.9602136106598985,0.000404081694724324,0.005671556854534961,1.3492068975704416e-08,5.856620023700799e-09,8.220157921899426e-08,179.06510100099695,6090.5341866973395
4,x,3,"['z', 'x', 'x', 'x']",0.1,m1,197,0,206000000,193203002,0.0,12,0,0.9382541035532995,0.0005997543884366017,0.008417953986001914,3.238277336659099e-08,9.860385483425333e-09,1.3839710535521965e-07,16.129278872002033,949.7794809417101
4,x,3,"['z', 'x', 'x', 'x']",0.1,normal,197,0,206000000,189706486,1.0,27,0,0.9219132203045686,0.0007612274976920394,0.010684337075306513,7.753904834095188e-08,1.5179233270584054e-08,2.130506915466663e-07,580.4892413570014,8450.694801426558
4,x,3,"['z', 'x', 'x', 'x']",0.3,m1,196,0,196000000,161910789,4.0,395,0,0.8260754540816326,0.0015792702902528188,0.022109784063539462,1.2425866484851066e-06,8.217597151958534e-08,1.1504636012741948e-06,0.0,2494.2524440963753
4,x,3,"['z', 'x', 'x', 'x']",0.3,normal,196,0,196000000,153700417,16.0,540,0,0.7841858010204081,0.0019538562026353563,0.027353986836894988,1.8637078224115033e-06,9.553001104883502e-08,1.3374201546836902e-06,0.0,17934.05367279891
4,x,3,"['z', 'x', 'x', 'x']",0.5,m1,197,0,206000000,149541162,52.0,2295,0,0.7273906796954315,0.002323625537244654,0.03261363856663489,8.22107629681123e-06,4.004461339239965e-07,5.620529327066183e-06,166.03365336800923,5117.658476477722
4,x,3,"['z', 'x', 'x', 'x']",0.5,normal,197,0,206000000,136543934,118.0,2742,0,0.6663940137055838,0.002757287730599311,0.03870037750429263,1.1019321043328356e-05,4.0587374758295153e-07,5.696709515016085e-06,1359.687286798002,25803.202799050054
4,x,3,"['z', 'x', 'x', 'x']",0.8,m1,126,0,126000000,75330304,205.0,7488,0,0.5978595555555556,0.0038346688141022464,0.04304405068235202,5.198527890943777e-05,2.9778546168157457e-06,3.342633517124256e-05,0.0,5273.1756950770505
