n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,z,16,1,m1,1385000000,1.0,1385000000,1.8050541516245486e-09,0.9999999981949459,1385,0.0,0.0,1.5799116539389463e-09,2.999864357026147e-08,1.579911654018645e-09,2.999864357177475e-08,4,-1,16,16,0,1.0,0.0,0.0,5,0,0,0,364746.6038493308
5,z,16,1,normal,1384000000,1.0,1384000000,1.7702312138728322e-08,0.9999999822976878,1384,0.0,0.0,5.071753714632728e-09,9.626538003383873e-08,5.0717537144213455e-09,9.626538002982654e-08,4,-1,32,32,32,1.0,0.0,1.0,47,0,0,0,727299.898002833
5,z,18,1,m1,124000000,0.17492125,21690235,0.07968667049905002,0.16208070967741936,124,0.010446241629175622,0.05934919578411781,0.004506884357139061,0.0256053776643622,0.010169408572676819,0.05777639861429398,1,2,112,80,96,1.0,0.0,232635.0,2719184,0,0,0,84021.97077272506
5,z,18,1,normal,124000000,0.153066,18980184,0.0758531587634979,0.14256975,124,0.009072068815644464,0.051541981070292654,0.005354655484910838,0.030421897942978438,0.008895836352319273,0.05054073532654191,1,2,128,96,128,1.0,0.0,197859.0,2207352,0,0,0,84362.56866979122
5,z,24,1,m1,400000000,0.5554581625,222183265,3.1579803638433837e-07,0.555458085,400,0.008993779017758361,0.09177325528324858,4.5061550399876343e-07,4.598117387742484e-06,0.008993798298299733,0.09177345202346666,3,0,48,16,32,1.0,0.0,5.0,52,0,0,0,259929.8406067551
5,z,24,1,normal,399000000,0.5887617518796993,234915939,5.457209212321459e-07,0.5887615964912281,399,0.007428022567538868,0.07570134417266867,7.899007214413565e-07,8.050129874051237e-06,0.007428062454752059,0.07570175067596432,3,0,64,32,64,1.0,0.0,9.0,106,0,0,0,313229.62945218093
5,z,28,1,m1,400000000,0.3752269275,150090771,6.731767346481876e-09,0.375226925,400,0.006131472098048154,0.0625660418168179,9.377759232234955e-09,9.569142073709137e-08,0.006131472094286082,0.06256604177842941,2,1,80,16,64,1.0,0.0,0.0,2,0,0,0,263704.6448266886
5,z,28,1,normal,400000000,0.3690276675,147611067,1.1871074903856336e-08,0.36902766375,400,0.007094554135474951,0.07239340954566277,1.3475762125204213e-08,1.3750777678779808e-07,0.00709455438630524,0.07239341210515551,2,1,96,32,96,1.0,0.0,0.0,3,0,0,0,289438.412219867
5,z,30,1,m1,400000000,0.16434021999999998,65736088,0.0,0.16434021999999998,400,0.00590440803375084,0.060249061568886125,0.0,0.0,0.00590440803375084,0.060249061568886125,1,2,112,16,96,1.0,0.0,0.0,0,0,0,0,272014.98597350356
5,z,30,1,normal,399000000,0.16846645363408522,67218115,0.0,0.16846645363408522,399,0.005825158252243501,0.05936604334516098,0.0,0.0,0.005825158252243501,0.05936604334516098,1,2,128,32,128,1.0,0.0,0.0,0,0,0,0,282457.39254235884
5,z,31,1,m1,400000000,0.033668052500000004,13467221,0.0,0.033668052500000004,400,0.001141152617644349,0.011644414465758663,0.0,0.0,0.001141152617644349,0.011644414465758663,0,3,144,16,128,1.0,0.0,0.0,0,0,0,0,229970.69378637627
5,z,31,1,normal,400000000,0.033234805,13293922,0.0,0.033234805,400,0.0011236757379378193,0.011466078958549177,0.0,0.0,0.0011236757379378193,0.011466078958549177,0,3,160,32,160,1.0,0.0,0.0,0,0,0,0,227448.63598492625
