n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,9,0.5,m1,na,247,492000000,1.0,0.0,0.0,5.564091866627168e-05,1.9954905124544646e-06,1.600081384240628e-05,492000000,-11670.0,52202,0,0,0,2620.2965808397857
4,x,9,0.8,m1,init,247,492000000,1.0,0.0,0.0,0.0003275129274875745,1.0642526938527589e-05,8.533695915532939e-05,492000000,-61538.0,297702,0,0,0,5163.596420173999
4,x,9,0.8,m1,na,247,492000000,1.0,0.0,0.0,0.0003288925479740627,1.0935096132460548e-05,8.768292130294495e-05,492000000,-61683.0,298804,0,0,0,5260.189023902174
4,x,9,1.0,m1,init,306,610000000,1.0,0.0,0.0,0.0008034421407907425,1.0338585128305378e-05,9.227111103659952e-05,610000000,-171387.0,883908,0,0,0,6733.166463529959
4,x,9,1.0,m1,na,306,610000000,1.0,0.0,0.0,0.0008056356262723668,1.029510415818685e-05,9.188304657981023e-05,610000000,-172326.0,886950,0,0,0,6659.243975750044
4,x,10,1.0,m1,init,17,32000000,0.33523943749999996,0.022950898933840825,0.048280092095459935,0.02887838650989964,0.004975267482110467,0.010466098645123613,10727662,-108877.0,583292,0,0,0,10105.336453432004
4,x,10,1.0,m1,na,17,32000000,0.34815768750000003,0.023306835951043797,0.04902885021688603,0.028264053730203655,0.004958848473703698,0.010431559203323096,11141046,-109659.0,591302,0,0,0,11219.078949185998
4,x,11,1.0,m1,init,17,32000000,0.57432925,0.013980384197572093,0.02940949017005395,0.02873048531072221,0.004750863730275472,0.009994037231041685,18378536,-193635.0,1004406,0,0,0,15414.721421646009
4,x,11,1.0,m1,na,17,32000000,0.537063125,0.029246093979612926,0.06152282378300247,0.02400218960768863,0.0036357052828353514,0.007648161686095043,17186020,-152189.0,790164,0,0,0,14542.557643822007
4,x,12,1.0,m1,init,17,32000000,0.35941825,0.022476859211929236,0.04728289013414366,0.21237509957818232,0.02618506068337501,0.05508355663814455,11501384,-996361.0,4755068,0,0,0,13137.274566608006
4,x,12,1.0,m1,na,17,32000000,0.3464094375,0.028714879756864733,0.06040534809411412,0.21710756889425992,0.029430887997546142,0.06191156115796213,11085102,-1007369.0,4743340,0,0,0,13917.001291302011
4,x,13,1.0,m1,init,17,32000000,0.6079859375,0.06654786118517358,0.1399917657272512,0.06749599463392722,0.022456458068364413,0.04723997377200021,19455550,-242340.0,1943088,0,0,0,9243.995203456025
4,x,13,1.0,m1,na,17,32000000,0.5804351875,0.06699609294600203,0.14093467740819626,0.07912995276143275,0.028182782868429377,0.05928601560733785,18573926,-202148.0,2042552,0,0,0,10018.332272943995
4,x,14,1.0,m1,init,17,32000000,0.34079325,0.024091432445169852,0.05067934726727941,0.21055272772063358,0.025107142355138966,0.052816020350845365,10905384,-758191.0,4254452,0,0,0,13259.559484236011
4,x,14,1.0,m1,na,17,32000000,0.3464366875,0.023753305159494986,0.04996805414802387,0.20507804786110884,0.027440947716269308,0.05772547239858678,11085974,-748375.0,4191900,0,0,0,9626.765059659998
