n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,15,1.0,m1,na,16,16000000,0.5666704375,0.025511528905613635,0.05206434470533395,0.20104638155599588,0.012028051210603715,0.024547043286946357,9066727,366625.0,2921864,0,0,0,7838.202706795005
4,z,2,1.0,m1,na,16,16000000,0.5631951875,0.018697621243509113,0.03815841070103901,0.20540661235759253,0.013545560434828656,0.027644000887405422,9011123,384858.0,2939096,0,0,0,7825.186149901006
4,z,3,1.0,m1,na,16,16000000,0.3475594375,0.03304171758222908,0.0674320766984267,0.2096043852363289,0.011988406327202555,0.02446613536163787,5560951,140970.0,2045996,0,0,0,6228.635746755002
4,z,4,1.0,m1,na,16,16000000,0.658925125,0.043070996887515055,0.08789999364798991,0.05755221926728186,0.011917615180629585,0.02432166363393793,10542802,111457.0,953636,0,0,0,3770.199403765004
4,z,5,1.0,m1,na,16,16000000,0.369214375,0.022562264917460117,0.046045438607061465,0.22151013511211542,0.015775950458515993,0.032195817262277535,5907430,94266.0,2440451,0,0,0,6828.86864907
4,z,6,1.0,m1,na,16,16000000,0.5893176875,0.01725602094555702,0.03521636927664698,0.034984183725998215,0.0030685333407408505,0.00626231294028745,9429083,35849.0,587117,0,0,0,7638.475562919999
4,z,7,1.0,m1,na,16,16000000,0.3886145625,0.020696606975223082,0.04223797341882262,0.03342368331386506,0.006149683207447686,0.01255037389275038,6217833,24557.0,365401,0,0,0,5112.9221973690055
4,z,8,1.0,m1,na,16,16000000,1.0,0.0,0.0,0.00072671875,6.664702348864374e-05,0.00013601433365029335,16000000,1099.0,21057,0,0,0,177.93792356500398
4,z,9,1.0,m1,na,16,16000000,0.374674875,0.028642519831381892,0.058454122104861006,0.22926155917769261,0.011307913422926887,0.023077374332503852,5994798,87219.0,2583644,0,0,0,6329.422759353997
4,z,10,1.0,m1,na,16,16000000,0.5747844375,0.02262192890864319,0.04616720185437386,0.03337973110614062,0.004415224303499929,0.009010661843877407,9196551,33063.0,544362,0,0,0,4761.843834601002
4,z,11,1.0,m1,na,16,16000000,0.33882168749999997,0.02905148905953697,0.05928875318272851,0.02333600508572597,0.003938906692277513,0.008038585086280638,5421147,9940.0,227594,0,0,0,4716.311858485999
4,z,12,1.0,m1,na,16,16000000,0.6560059375,0.05744578386106821,0.11723629359401676,0.0012268173429241722,0.0012059000885989875,0.0024610205889775256,10496095,990.0,16118,0,0,0,823.6199582699937
4,z,13,1.0,m1,na,16,16000000,0.347704375,0.02564070540579357,0.052327970215905246,0.013075989063658906,0.0038635601899110862,0.007884816714104258,5563270,3593.0,139251,0,0,0,2955.435681256
4,z,14,1.0,m1,na,16,16000000,0.5695716875,0.021551090836585428,0.04398181803384781,6.894308274780525e-05,2.2943565733499408e-05,4.6823603537753895e-05,9113147,23.0,1250,0,0,0,1048.7903205919974
4,z,15,1.0,m1,na,16,16000000,0.361822875,0.015272569631406004,0.031168509451848986,5.696569308162537e-05,1.6952516689512606e-05,3.459697283574001e-05,5789166,20.0,625,0,0,0,912.9451918549994
