n,lstate,i,p_error,sim_type,comp_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,4,0.1,m1,init,13000000,0.9310719230769231,0.0033071131739782567,0.006083656184969931,2.9380868336312796e-05,13,5.950869515809456e-06,1.0947023047370692e-05,0.931044576923077,0.003307882682000676,0.0060850717465167235,0,2,56,40,48,1.0,0.0,12103935,7.0,697,0,0,0,449.85647211188916
4,x,4,0.1,m1,na,13000000,0.9375603076923077,0.0031418284450951965,0.005779603855868382,2.5653272216640407e-05,13,5.679458617153243e-06,1.04477445209295e-05,0.9375362307692308,0.00313932311627071,0.005774995135695634,0,2,56,40,48,1.0,0.0,12188284,3.0,620,0,0,0,417.48021005187184
4,x,4,0.3,m1,init,13000000,0.8146606923076922,0.008106787372998282,0.014912978343178224,0.00029834914520107203,13,5.8355032976179126e-05,0.00010734799162092132,0.8144177692307693,0.00810885313974717,0.014916778459472237,0,2,56,40,48,1.0,0.0,10590589,46.0,6224,0,0,0,806.655451495084
4,x,4,0.3,m1,na,13000000,0.8148549230769231,0.0070683078289055365,0.013002625667286969,0.00024993068019378735,13,3.290293100823926e-05,6.052714533839832e-05,0.8146513076923078,0.007068217186092518,0.013002458923761413,0,2,56,40,48,1.0,0.0,10593114,39.0,5216,0,0,0,897.3319226941094
4,x,4,0.5,m1,init,13000000,0.7054966923076923,0.016647552673466,0.030624288150596576,0.0007222690970379625,13,0.0001236047454827095,0.00022737920802478825,0.7049871538461538,0.016635487033021246,0.0306020925968747,0,2,56,40,48,1.0,0.0,9171457,162.0,12924,0,0,0,1125.1442828959553
4,x,4,0.5,m1,na,13000000,0.7089665384615385,0.014438893323484477,0.026561311346315272,0.0008200526971600285,13,0.0001602404435529641,0.00029477302838433933,0.7083813076923077,0.014362451872226593,0.0264206921768861,0,2,56,40,48,1.0,0.0,9216565,177.0,14862,0,0,0,1236.7850012219278
4,x,4,0.8,m1,init,13000000,0.5567384615384615,0.019133753657952512,0.03519782138053288,0.0020174128364546995,13,0.00031582265320608617,0.0005809769235140945,0.5556148846153846,0.01909926438179262,0.03513437604703894,0,2,56,40,48,1.0,0.0,7237600,480.0,28253,0,0,0,1452.6197135582333
4,x,4,0.8,m1,na,13000000,0.5873571538461538,0.012246869475662754,0.02252893666245757,0.0020709894239371823,13,0.00029425749371400303,0.0005413063682527349,0.5861356153846153,0.012143982251502258,0.02233966872250817,0,2,56,40,48,1.0,0.0,7635643,477.0,30806,0,0,0,1545.0805384259438
4,x,4,1.0,m1,init,13000000,0.5051278461538462,0.018796627196441457,0.03457765467477071,0.0030425380792630397,13,0.0005778394753188026,0.0010629744169638525,0.5035942692307692,0.018780573193885073,0.03454812226181486,0,2,56,40,48,1.0,0.0,6566662,788.0,38297,0,0,0,1709.821255764924
4,x,4,1.0,m1,na,13000000,0.4923814615384616,0.02204423385258878,0.040551844634606087,0.003125061245115939,13,0.0007794413535043406,0.0014338345746310985,0.49085688461538457,0.02208287332785185,0.04062292453731936,0,2,56,40,48,1.0,0.0,6400959,689.0,38261,0,0,0,1817.0813095240155
4,x,5,0.1,m1,init,4465000000,0.982469305487122,0.00013339581744754858,0.004547753041508427,2.3599991780461342e-08,4465,3.442664545417562e-09,1.1736790895615641e-07,0.982469282306831,0.00013339585264174689,0.004547754241355059,2,0,24,24,16,1.0,0.0,4386725449,0.0,207,0,0,0,5305.933777915547
4,x,5,0.1,m1,na,4465000000,0.9825003092945129,0.00013478518739928555,0.004595119679718629,2.805208690883725e-08,4465,3.874887852284272e-09,1.3210333991662717e-07,0.9825002817469206,0.00013478526924038487,0.004595122469859396,2,0,24,24,16,1.0,0.0,4386863881,5.0,236,0,0,0,5122.475278480211
4,x,5,0.3,m1,init,4466000000,0.9482989108822213,0.0003824090137920327,0.013038613400235122,5.124101282864809e-07,4466,2.2068739771591207e-08,7.524555011369502e-07,0.9482984252127183,0.00038240937660745676,0.01303862577078571,2,0,24,24,16,1.0,0.0,4235102936,53.0,4232,0,0,0,12236.745799725293
4,x,5,0.3,m1,na,4465000000,0.9489310790593504,0.00038063979510975614,0.012976837048209488,5.046967127684661e-07,4465,2.1754641764241776e-08,7.416629707236365e-07,0.9489306005599105,0.00038064053311916455,0.012976862208552561,2,0,24,24,16,1.0,0.0,4236977268,63.0,4147,0,0,0,11710.174055861658
4,x,5,0.5,m1,init,4465000000,0.9157711888017916,0.0006159033657830874,0.02099748296918425,2.297522914168663e-06,4465,7.304136403021263e-08,2.4901386848574547e-06,0.9157690865621501,0.0006159043479695974,0.02099751645405487,2,0,24,24,16,1.0,0.0,4088918358,317.0,18139,0,0,0,22186.496411165223
4,x,5,0.5,m1,na,4464000000,0.9160130396505377,0.0006197238107333834,0.02112536417264418,2.2062527037916882e-06,4464,7.047199071033198e-08,2.402274112987805e-06,0.9160110206093189,0.000619725024827097,0.021125405559099558,2,0,24,24,16,1.0,0.0,4089082209,277.0,17472,0,0,0,21982.83323674521
4,x,5,0.8,m1,init,4467000000,0.8698514542198343,0.000911909266812833,0.03109592884878922,9.722369137127833e-06,4467,2.515951872569481e-07,8.579347010019615e-06,0.8698430053727334,0.0009119081120279629,0.03109588947084948,2,0,24,24,16,1.0,0.0,3885626446,1748.0,71986,0,0,0,37050.07993268955
4,x,5,0.8,m1,na,4466000000,0.8700154785042543,0.0009476938400496536,0.03231255842968087,9.853895817336033e-06,4466,2.5459872138163867e-07,8.68079511874342e-06,0.8700069188311689,0.0009476961133199826,0.03231263593908024,2,0,24,24,16,1.0,0.0,3885489127,1689.0,73077,0,0,0,37466.09757067438
4,x,5,1.0,m1,init,4466000000,0.8406293526645768,0.0011089646207937559,0.037811245142175515,1.9700240339042174e-05,4466,5.14882257124761e-07,1.7555419603527357e-05,0.8406128200850873,0.0011089637973448001,0.037811217065869256,2,0,24,24,16,1.0,0.0,3754250689,3894.0,139881,0,0,0,48810.981427587685
4,x,5,1.0,m1,na,4465000000,0.8415199946248599,0.001099599822071182,0.03748774535028152,1.9545626117479796e-05,4465,4.99065930878961e-07,1.701424113961032e-05,0.8415035772676371,0.0010996011283886198,0.03748778988547922,2,0,24,24,16,1.0,0.0,3757386776,3663.0,139281,0,0,0,49314.724857294816
4,x,6,0.1,m1,init,13000000,0.9320955384615386,0.0033108503246719488,0.006090530923975157,0.0003208102980021532,13,5.4720331096961925e-05,0.00010066171407166473,0.9317964615384615,0.0033056765157871287,0.006081013356003896,0,2,56,40,48,1.0,0.0,12117242,59.0,7658,0,0,0,2245.0958758590277
4,x,6,0.1,m1,na,13000000,0.932471,0.003967068492600632,0.007297688195586334,0.00029383071916218344,13,5.281260633503333e-05,9.715232659788622e-05,0.9321971153846154,0.003974031055145193,0.007310496295720537,0,2,56,40,48,1.0,0.0,12122123,38.0,7045,0,0,0,2447.6592720001936
4,x,6,0.3,m1,init,13000000,0.8062545384615384,0.012207202758037007,0.022455967078616253,0.0011985745985206688,13,0.00017540089895708575,0.00032266170150625046,0.8052882692307691,0.012194059142676612,0.022431788517837233,0,2,56,40,48,1.0,0.0,10481309,391.0,24341,0,0,0,2794.1046991569456
4,x,6,0.3,m1,na,13000000,0.8129705384615384,0.007675153410183866,0.01411895875891338,0.001252406431487803,13,0.00018586362764505318,0.0003419085916928497,0.8119536538461538,0.007710686433692256,0.01418432413556224,0,2,56,40,48,1.0,0.0,10568617,401.0,25637,0,0,0,2685.6603040589252
4,x,6,0.5,m1,init,13000000,0.7122585384615385,0.012028142499023316,0.022126573739191906,0.002610681909089959,13,0.0005069595604637805,0.0009325860662443097,0.7103975769230769,0.011981675315349879,0.02204109424257916,0,2,56,40,48,1.0,0.0,9259361,1017.0,46351,0,0,0,2848.1633487096988
4,x,6,0.5,m1,na,13000000,0.7080473076923077,0.010450092259978411,0.01922364463095996,0.002262074822606456,13,0.0002800325406958993,0.0005151386144273067,0.7064447307692308,0.010407221508764974,0.01914478101273664,0,2,56,40,48,1.0,0.0,9204615,912.0,39843,0,0,0,2620.585381309036
4,x,6,0.8,m1,init,13000000,0.5686658461538461,0.013122593791623333,0.02413989019529762,0.004312069944066435,13,0.0005031967584899817,0.0009256641399912746,0.5662121153846154,0.013051968811173984,0.024009970813492123,0,2,56,40,48,1.0,0.0,7392656,1651.0,60495,0,0,0,2691.474836644833
